,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.8389261744966443,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T14:32:34.000Z,0.000596,0xb76c22caf4449ca354da2b77779e0d85fabbd31c,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0xb3e533a6cc273b6fb2f60b80deabccdf9b9876b3d9625c81de5af62b84b854a6
1,0.8389261744966443,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T14:23:04.000Z,0.000596,0xb76c22caf4449ca354da2b77779e0d85fabbd31c,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0x6c1a24fa0db624141ca8dcaa6be132d723d400797af5020bd726d7502c51a020
2,10321.371219220417,4.644617048649187,0xee85bdcaf863141247c146d75eeab4b50532b0ba,2017-11-02T13:04:45.000Z,0.00045,0x88b164e589331db3aaec043c6d8da00e36853b34,sell,0xf05a9382a4c3f29e2784502754293d88b835109c,0xa0ad08452ceb3f6f3eaa6f28800672f8ebe5f06d6b3486535eb5cf35aba84024
3,2000,0.904,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-02T05:40:14.000Z,0.000452,0xd64f7804d1f351bbec2d560ca745d51f91e2a23f,sell,0xf05a9382a4c3f29e2784502754293d88b835109c,0x7c370810d4b67a22b4bf5ed9a58d3e06036ad6ee63fde5a61130daf3caf00c4a
4,353.42338749875387,0.15904052437443925,0xee85bdcaf863141247c146d75eeab4b50532b0ba,2017-11-02T05:30:38.000Z,0.00045,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,sell,0xf05a9382a4c3f29e2784502754293d88b835109c,0x95fbd702e1c811e3ad1b001f23f49f90aaa3d6a74bbeda032b9b9e40d4f1d6e6
5,354.519,0.142871157,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-02T00:40:40.000Z,0.000403,0xc6a23e09e71db012b90c65b948830525128a12d2,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0xe1df5953acc9459de3f9a1147bef21b945e887a46d1542edfc551021e09ca97b
6,324.1290211491147,0.1306239955230932,0x3336c63be5a4e3573eb75b92e29a2ee7bafa0e4b,2017-11-01T22:34:47.000Z,0.000403,0xc6a23e09e71db012b90c65b948830525128a12d2,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0x8ac565e3749020f50742595e801ee319215085a15d82b6dad928631e959fff54
7,1300,0.65,0xf18eb6a4d8c8024b3fec51dea418af67499bf2f2,2017-10-31T13:51:00.000Z,0.0005,0xc28af06cba537386409efd768149c6cccfc3609e,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0xfa387a5f9259b56edb84605d86c7e8e535bb94fbfbc4e5bc5ac85a86dc421ab7
8,1000,0.49999999,0xf18eb6a4d8c8024b3fec51dea418af67499bf2f2,2017-10-31T13:51:00.000Z,0.00049999999,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0xbfffb2776e355db50a87305945544f851cbcb6e5b18aaad8681c182528417e2c
9,1000,0.6,0xf18eb6a4d8c8024b3fec51dea418af67499bf2f2,2017-10-31T03:06:23.000Z,0.0006,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xf05a9382a4c3f29e2784502754293d88b835109c,0x6014b97aaf0cef964f48d06923da5e0c4ee23580edb617b9583241e241460eb6
