,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,50,0.16,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T17:08:22.000Z,0.0032,0x1b5970f678c07f464e3d99579dee2281e56f949d,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x8b9f5bb544aab17e4e7e6b1a4b757206b92c3c2db0fe8f9e0a3aa1692d45744d
1,0.15625,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T14:38:00.000Z,0.0032,0x1b5970f678c07f464e3d99579dee2281e56f949d,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x8605e876052693c486b6dcf01e0b74e33eaf2d8845e3ee65ed1269ec54ad5393
2,0.15625,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T14:29:00.000Z,0.0032,0x1b5970f678c07f464e3d99579dee2281e56f949d,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x717888938c90b182fc314fb508e459d5677855a941161048bdfb9e211b1c2b8f
3,30,0.096,0x52da5b9a5fe17abb0720544c1e45f9d3cf5d937b,2017-11-02T10:59:38.000Z,0.0032,0x1b5970f678c07f464e3d99579dee2281e56f949d,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x25f03ff586ec641056b5dbce0c1621034df040fa6a8a47005838b5b6fe1949e6
4,10,0.032,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T10:35:36.000Z,0.0032,0x1b5970f678c07f464e3d99579dee2281e56f949d,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x6236a336e4144cb7e87840d35896a535455262071dd9ee02d7716d2304b264a3
5,75,0.23925,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:30:33.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x5ba5a4a3cd77a1231c93e772f36ea92c3f214ec789107d0fb3f5f232d9d3e00d
6,25,0.07975,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:28:21.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xd49b2b0e0ca57f0d0626269ea04a22f75f443f73574bfeabf59212eb9bef651c
7,25,0.07975,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:26:47.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xef52595ed6a91fba56d5b94b6e0be9e5ef215ecaaf3fafcd470fc97eec74219e
8,25,0.07975,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:25:57.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x619b9eb4e5033de0de6c81f02208e5806b0dfd84c6b09bd4940cf70410da3768
9,150,0.4785,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:24:50.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x5cf7ecc9a505046b30658fc2092a6a069108342536b5760bed117cf588a5b5f3
10,100,0.319,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:07:14.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x57ac1f0a1454e7c8eebb604c911b847491a2939d88c44f72781e4f34ff959d37
11,50,0.1575,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T10:06:08.000Z,0.00315,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x408c7f1df48e222bca432c56a11a55fb0fce183cd5edc06ae3bcaeb0f27a772c
12,50,0.1575,0xeb7410d2426aaecbf84554148ed5739ca1b6c5ec,2017-11-02T09:57:26.000Z,0.00315,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x3dee9976ae27cb2e668ae7cf5accd393ab6c2e0c907b3483d169b78aa78f983a
13,100,0.319,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T09:53:21.000Z,0.00319,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x9f4e0c781816b84b0ca7bb867a5890344aad90a257f1019fa80839dbb387f1e6
14,100,0.325,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:49:20.000Z,0.00325,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xc67223dd022e0c64ad9ed3035de5c4939c496b447297bd67f2c4f654089e0e6b
15,50,0.1625,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:47:24.000Z,0.00325,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x8826f84466001ff834d2f48704b98005d6ae0ee0bffba733fb73ab1294c0a147
16,19,0.06118,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:46:53.000Z,0.00322,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xbde35866577e212141f0202ca60ae650899ef2c56d6f1c9b8f77981ba73f7635
17,75,0.2415,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:44:21.000Z,0.00322,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xdefea51341a565529ff235eb4fc40e8a11564a277f0cc0979c7bccf1d64b4026
18,100,0.322,0xeb7410d2426aaecbf84554148ed5739ca1b6c5ec,2017-11-02T09:42:13.000Z,0.00322,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xe8548b263baec04a73067c4b06c49e1b85d75ba7d7617480dfda1890f5674bdc
19,66,0.21252,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:38:53.000Z,0.00322,0x529a02d528a1c135dd6bd6cf80f881e6fb6e64e4,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x55f85b21085f0607340c6593f0555ccfe4d90cf2b92a6bf2cbd6b877fd7288d2
20,25,0.08125,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:35:43.000Z,0.00325,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xb7a794417af5108a238b188692fb0303abc1053c52f81b5dd2f6f91afb100242
21,25,0.08125,0xd4cf3ca686785a623273b6f4e96dae49d19e8152,2017-11-02T09:33:54.000Z,0.00325,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xcc4cf95b6c3d005e8ef9a9c2363b635ff9ba8801b62fc318b7c6c5157b6c9793
22,75,0.24375,0xeb7410d2426aaecbf84554148ed5739ca1b6c5ec,2017-11-02T09:27:00.000Z,0.00325,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x461b4361a45fb73adb49647afd8f55cae09c0816186d9f9d924187f4c16c700e
23,15,0.048,0xeb7410d2426aaecbf84554148ed5739ca1b6c5ec,2017-11-02T09:22:03.000Z,0.0032,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xf64d53aafa23af85e4c24be9b27c06b55525465ad1559f5c9c969e60e5d59839
24,100,0.32,0xf3bf2badc4591d1a656c4c64688e823ebc87b7d0,2017-11-02T09:20:07.000Z,0.0032,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xe0545c0c939ea71862b106e9e723924bc2e5b0c8c1e82df511db866ac07b9731
25,25,0.08,0xf14ffd455d0a0bc4150f8c3e11e2b4ff8060b7fd,2017-11-02T09:19:33.000Z,0.0032,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xeca33808202747a9a999498176a62dc38c306455134b845641dbbab466539f18
26,25,0.08,0xf14ffd455d0a0bc4150f8c3e11e2b4ff8060b7fd,2017-11-02T09:18:53.000Z,0.0032,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0xaf353b56e47b67c346910c70d9194edc8f994e54fc835c7647bcb6823db5090f
27,85,0.272,0xeb7410d2426aaecbf84554148ed5739ca1b6c5ec,2017-11-02T09:17:51.000Z,0.0032,0xb5a8aee2e7adbc3646d3159921fa6564b499f812,buy,0x1bcbc54166f6ba149934870b60506199b6c9db6d,0x4fd6947a37bcacdd11cc744385a713d321afd92b6b11c48387ed31dca975d5ce
