,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,15,0.1245,0x739fc8613e0177a800fdb72f4322487e1a23a064,2017-11-02T12:59:45.000Z,0.0083,0x8d271b7dee29678ddbb3669c8a3f15f0a3713b9a,buy,0x4156d3342d5c385a87d264f90653733592000581,0x0a36c93f3d36931fb99cae2b9962c419d1ff9d52325737d045b95cfac8921263
1,0.5,0.05,0x5a2d756f54f8b0cadd5c84b89e4d787ecfa0702b,2017-11-02T12:53:12.000Z,0.1,0x8988156d003068f226aff6d4abaf8fc880a84c47,buy,0x4156d3342d5c385a87d264f90653733592000581,0x153850e558bcd9de652ac13c64f12cf65994487f78055f9be6b75955112bbede
2,0.1,0.01,0x5a2d756f54f8b0cadd5c84b89e4d787ecfa0702b,2017-11-02T12:53:12.000Z,0.1,0x8988156d003068f226aff6d4abaf8fc880a84c47,buy,0x4156d3342d5c385a87d264f90653733592000581,0x46bf35550f721f8e7eaf84436ce1b4edbcc64fa7eb61226b22c5d60f1e39400b
3,2.837,0.073762,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T12:36:28.000Z,0.026,0x244beb883da53d9f6169762af296e944aba5bb84,buy,0x4156d3342d5c385a87d264f90653733592000581,0xc15ba2351226340b845b0ab027d6f628281e69055bd2e70a9a1d3f3cf7c65d58
4,4.83501146,0.0393569932844,0xdf114c51ae98a8d2071066418ee9ee04403289d2,2017-11-02T12:34:41.000Z,0.00814,0x739fc8613e0177a800fdb72f4322487e1a23a064,sell,0x4156d3342d5c385a87d264f90653733592000581,0x18f4f9fd12e03a41de74fbdbc2eaac0ba9bd01a8fb15141cbe269acbbd21b88a
5,0.5,0.004925,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T12:15:56.000Z,0.00985,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0x4156d3342d5c385a87d264f90653733592000581,0x85687b71bf0ff0ba16ec57b36776cc7b4fc457b426bbde9e29795167bf4ed31a
6,162,1.409238,0xced2450173480408eeba1cb5461dfa8b4db05c2b,2017-11-02T12:14:39.000Z,0.008699,0xbd11a3bae9ea4473053ad48d83e887e4bae2c3cf,buy,0x4156d3342d5c385a87d264f90653733592000581,0xfa964c6e0e146e52b8ab95a9268980c18ad655c83c15200d8d9ee37af8efe823
7,1,0.01,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T12:13:24.000Z,0.01,0xffd7611a52a71685a932c6f696d99df0aea5db30,buy,0x4156d3342d5c385a87d264f90653733592000581,0x3a4f5a44e9d0f1dbb08faa71756417d7f8b679fd2f99ba87c85e5c9db81dcf29
8,457,3.656,0x2d1204d83b9182c5755ad06c1c24767786527928,2017-11-02T12:12:59.000Z,0.008,0xbd11a3bae9ea4473053ad48d83e887e4bae2c3cf,sell,0x4156d3342d5c385a87d264f90653733592000581,0xee9821b75a6d30753b0d013ca0c09351a6d442e91159e4497d175129ffcaa3c9
9,100,0.8000001,0x36ac32b737afb8c3f35056fd8ea1e68cff54208f,2017-11-02T12:12:59.000Z,0.008000001,0xbd11a3bae9ea4473053ad48d83e887e4bae2c3cf,sell,0x4156d3342d5c385a87d264f90653733592000581,0x0fbb3cf9b8955f01d647f8e5f3a633512d97c6aff1e5dbb7ccde3b47cb877a44
