,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,72618,0.00944034,0xacba24578577004624344761f641a710800ee012,2017-10-22T18:55:46.000Z,0.00000013,0xe068ab6e9d1dc859688ae424ba738b9d6220e97b,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x7a399bfc15a4a795a08a798a2f72685e0087fa40b2501331e72a1842b8113a9d
1,1,0.000289,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-20T16:10:46.000Z,0.000289,0x4ea27f7c71ecd0f3fa6df1be445487724e29fd6b,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x41f27eb6279e24047da75350f2be961daff938c5b0525081672b1ebefb8c16b5
2,855,0.0000855,0x1b8662b591a73cadbd0b6e53e45c29be82757602,2017-10-20T16:09:28.000Z,0.0000001,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xee2f020fe14aa21aec3ba7e5dafefff768c5d7674cc34d646314d2a839409cdd
3,5000,0.005555,0x78b0e4933f5b7d90102367e28efcde256998411e,2017-10-20T16:07:55.000Z,0.000001111,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x8530b2f9c65ab279b67e935db658e391af491825e6397760119edb3b6595e5a3
4,25000,0.025025,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,2017-10-20T16:07:55.000Z,0.000001001,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x85c71f281664eb110ab465262661765bf0fc7cfe57d29e5335fb84338ce5e3d5
5,5500,0.0061215,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-20T16:07:55.000Z,0.000001113,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xb4e7564b69c508d9bfbb14a97826fa7bec469d51f82fcbec53cc4ec7079ae34b
6,6000,0.006684,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-20T16:07:19.000Z,0.000001114,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x92e1cd6fcfc2370e5a854357772909fdb1d8554501b3475657f48c6168d51377
7,14,0.000028,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-14T20:21:33.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x2ef7562d50d8c4391a980270e1cdef23c4cbf1256530fbd605d8dc489278f795
8,88,0.0165528,0x5d5065b42bdee0274e394ba9042c21e1818c69cf,2017-10-14T08:23:37.000Z,0.0001881,0xaa85b24ac88a0a235f1977821194adce1cda9144,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x8b3efa5e0e7ac464dde086ec1c2b91fbf14630b0513bfd76176baf28ad67db9e
9,5000,0.101,0x4b409edde3b5ecb9bfad65ab41a8cae228c30ecf,2017-10-14T04:36:12.000Z,0.0000202,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x9c5a69645033a4df37dc72a8fe8f250aee9e6a67afdf7bfdbeb7bd9d7fe886e9
10,2,0.000004,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-10T12:33:37.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xaa517331f2d8f212b6dfe4c88cc6c62d04c31cb597b91308cb9952908ad870f1
11,1,0.000002,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-10T08:51:17.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x28e267902f8d7b202bdced5de7a2e1d1d09c2acd1291a5a5bd2dc6ca5002e41a
12,2,0.000004,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-10T08:13:49.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x8c3b41eb51c006f02fd9714cd159d96165ac30b0add1645ac366ed4844884020
13,3,0.000006,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-09T21:39:50.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x1c7f0edf64fd4004ee18387022ae408d771af5bd8850d3841c6f8ce7a9752566
14,3,0.000006,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-09T21:37:12.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x9d1fa3de58eae595d3f38e7e746b6093d707ef953a3564125c697db19d73fca0
15,5,0.00001,0x0485fa945f0da22c4394826845c59050d184265a,2017-10-09T20:37:55.000Z,0.000002,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xb33cabc535f7028a2b8850cb4010581c74a19cc1801048caf78565bf9972445b
16,30,0.00078,0x025fd27927bf438b63ea72de1d5bfc425e2f2779,2017-10-08T10:46:33.000Z,0.000026,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xf41b860e5fea222f6fda057f06e05c7b133dc3ccf4e5b902b08f7e2b16ba95de
17,200,0.0052,0x5c71f7ca58238adbffcb03ce76fb2f8640a015c5,2017-10-07T16:23:49.000Z,0.000026,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xb10450fe6d4fb657d3a30689f64183b1a79e714242df0aedac8274f057f9f34a
18,10000,0.13,0xaa85b24ac88a0a235f1977821194adce1cda9144,2017-10-06T02:59:11.000Z,0.000013,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xb8e263e413c3ccc341ff0fea06f26a19381a68fb38d2d69dc8d64d42f6eee931
19,1000,0.101,0xaa85b24ac88a0a235f1977821194adce1cda9144,2017-10-05T01:31:30.000Z,0.000101,0x154bb30af84ad7825bb9f413b6b36b0c4c93c68c,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xa48da76cddba13fb835e26112039cb0446f3a3c1e5443aacbe63f3b4cc62ce5e
20,3,0.00087,0x0024a5046fd95c5eee6db19a69ef7ed3bacd50f1,2017-10-04T12:09:08.000Z,0.00029,0x7d6df8556afea421f6fe82233ab0bc9ed8a509f5,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x011104011ffc432907887d7a65684365401f8cfb963ef0555b951bc5d6e85a99
21,1000,0.1,0x7435527ef931b39bac806ad7b2207d3b8aab121c,2017-09-30T22:22:06.000Z,0.0001,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x2571026fd403c0807f6fcd756ac9b66034d098f3b9034fec6adeea393da9d32d
22,10000,0.13001,0xaa85b24ac88a0a235f1977821194adce1cda9144,2017-09-30T22:20:32.000Z,0.000013001,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x4350a14079dfeabf4bf7b909d5b686e8ab67689e2654864c98efa09001017330
23,80000,1.04,0x939248c057992a444c842909c3459689a80bc6dd,2017-09-30T22:15:49.000Z,0.000013,0xd03bb9ff52f863b3a41bed1939ecac61f6333bad,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xd9ee0b602ca50bd0488b7fc2ca72dc172903857afa199d35e72155c3c22cf102
24,99,0.0495,0x1b8662b591a73cadbd0b6e53e45c29be82757602,2017-09-30T20:19:52.000Z,0.0005,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,sell,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0xa9e42af307faf80e39eeccbffe42d8441f559452a3e1d2627c6c0d11f559838e
25,100,0.01,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,2017-09-29T07:41:47.000Z,0.0001,0x4ea27f7c71ecd0f3fa6df1be445487724e29fd6b,buy,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0x5632c2f1c6a2a7351804b2e85a4864c7f04b7236c9ce5bda9cd2efe4b083fe36
