,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10543.343,0.84346744,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,2017-10-26T09:45:42.000Z,0.00008,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0xc81df359bd3607d6492a71335c4c304c8ac97d95d3beb83f6cf0407b0ca010dd
1,9426.327627178425,0.9058700849718467,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,2017-10-26T09:42:11.000Z,0.0000961,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x81fcb2d5f370112d4865a8caec3a652b72f290fe9f654de169e73ae9231c42b1
2,1,0.000999999,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-26T00:59:34.000Z,0.000999999,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x23a889e2f4e22ebc236ab280c96c3606dcecd58d0625e841e0051d9b0cd18eb5
3,8826.143150084074,9.47045160004021,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,2017-10-24T09:46:38.000Z,0.001073,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x2129af2336cb10c90fa80ffe1b67d3a69e61929f601bb5bb41a5951e161ce93c
4,95000,9.49981,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,2017-10-24T09:42:51.000Z,0.000099998,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x523660f2186e89091a695e2f0b7d5c7bd5d002367185a03b629eb4763fa13561
5,0.999999999999999,0.000999998999999999,0x0249924245a19aa2d7f5ddb0739a7132b7d094ab,2017-10-23T16:34:27.000Z,0.000999999,0xf36990a2cb4d609e0a7d4f3bf884c0342d81fd3d,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x41e14076c850e5e176e37f2b9732ff9111dd72c818355e26c2f29f91ca447599
6,22700,24.561173,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,2017-10-22T23:31:39.000Z,0.00108199,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0xe2f5bd15bc8b160fae754ac1a9c6836cf558a81c458e1569ab8dd4f03d016f88
7,120,0.12876,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,2017-10-22T23:30:42.000Z,0.001073,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x52b812e7bccb047e1901aad22dde486603e5ce858cf38c7d5a19233b2b70c025
8,1022,1.123178,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,2017-10-22T23:26:10.000Z,0.001099,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0xe61c762eb3afd9be35fb3fe4b577e078cf64a20fd136a9e03d40b6f46c3acb01
9,4650,5.10105,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,2017-10-22T23:26:10.000Z,0.001097,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0x798dc95b32aa30aa83eb2ab0cccccdc08b197396adf46cead1dfa4aa876c9d99
10,2020.56,2.19786414,0xcc5d3e88c658fb119aa2c22bc8fc082b697ac9b1,2017-10-22T23:24:31.000Z,0.00108775,0x6565e0b6b1a1702ee3ac41b5d2ad0498a71b7f5e,buy,0x9397554c07f687b7a20d13c73350cc283765d509,0xa9338fcd5afc3ff6c417fec684ca7cf207b4abc60704da81fff9c7bcda333bb6
