,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,74,0.139268,0x4c5f557b441cd25106d18e4c9424158a819f39c1,2017-11-02T13:26:40.000Z,0.001882,0x908dc1e08cd1a3d378a4d023b7388e0e3004019d,sell,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0xabfbb6a0e9cba2b27cc9400528eb4e73fe07ed3bdd5845adbb688bc4b30c7d78
1,115,0.23,0xe2280e01e446eca796a058c9ec6442aba307822e,2017-11-02T13:24:14.000Z,0.002,0x908dc1e08cd1a3d378a4d023b7388e0e3004019d,sell,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0xab5b5741c18921b333e398302f64e883043a51a551dbb46b25a09be49f2fec8a
2,16,0.09698438242831009,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T12:43:14.000Z,0.006061523901769381,0x6422b1346addfeaf1592503f5dd63de1be3efdb5,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0xd37e68955c0f25e90a394d7e7c51eb72bcf1d6b01a10a9067ac16f9187c5f8e7
3,1,0.0079,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T12:06:56.000Z,0.0079,0x4ac9d2e9b0e8ab19ce202f9a0af23334701d96ed,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x3d05d2c0a19d24b4fc52d83ccca52c7f85319c795c290d0ece0b17193ee31292
4,1,0.0036,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T11:59:39.000Z,0.0036,0x3af666ba60c9fedb72ef25752de6009ea86525dd,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x1f8b364d6eab4c23a9e43a11b211b82bc3a42207f7782ca2cc909aad95100e08
5,2,0.0078,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T11:58:47.000Z,0.0039,0xc730e3529f26bdcdd134e0b5a95a21e7f3c8dd6c,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x754618a9d1cc2088d9c300ae524fcd08f30953b92d25ff6de4b41e9594067724
6,1,0.0030498,0x075d567b34a0cdfe2f6fc2af78f6f87adcb5fb62,2017-11-02T11:54:30.000Z,0.0030498,0x73850df49cef8599fce66903d0fad7bfa8ec6307,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0xa96147b19388a14084a1254deaeaa119db7ab6817f7629387d8d283ebd82edda
7,3,0.00879,0xeb2e038e97e7b0d67f0574172f80b1b434081a87,2017-11-02T10:57:12.000Z,0.00293,0xd40cd8ad0879201b4c42b9726078f7d1f58a6bf6,sell,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x61962eec0fb9011f446f76ac0c0f70fb210c667d102d76a17c738296d71c11b8
8,81,0.3774114,0x7e72492ed193cb5a92e774002eedd1a20ed08e83,2017-11-02T09:41:26.000Z,0.0046594,0x7e72492ed193cb5a92e774002eedd1a20ed08e83,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x0ac90b84d9c24db9172484d94faf1144f2af7166fff739af9737ed9b1173b715
9,1129,3.33055,0x3059631d7e1107328967429b2946f13a56a4c056,2017-11-02T08:46:20.000Z,0.00295,0xe636e487babefb9f7a3d2a7206ae1ac17797d868,sell,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x6bfc7c3c8746ed03567797df8788950ceca2027968a7e22de4384baaa501fc03
10,1000,2.95,0x4ca1b37e8f8f2327e67ae47a24bc77375e227573,2017-11-02T07:38:20.000Z,0.00295,0x3558a7e5ffaec08666ba511d1949da6c3c2b506a,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x6c3b2f5acf34483982681f121e125093af2184ce2c11ca08d082e371f6ff1ce1
11,1429,4.21555,0x4bb4397101d4628c6e1d4c0e8811b79099b1c76a,2017-11-02T07:38:20.000Z,0.00295,0x3558a7e5ffaec08666ba511d1949da6c3c2b506a,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x48d9e2c0a8b31edc901bcc49a0f5fdd02c3c8c95b5dffb981221563c49f9d160
12,271,0.79403,0x4bb4397101d4628c6e1d4c0e8811b79099b1c76a,2017-11-02T07:33:55.000Z,0.00293,0x93d5cbcc0695d6e5246616716b5740819092897e,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x71ed68beee97f1a724d4abb1247949488ca092f6adefdb08f350faf3d61482ea
13,100,0.2,0x82c64bbb4eff232605e21c10278314d3febdaf9a,2017-11-02T00:57:20.000Z,0.002,0x48af8000c9d156ac7156c4b27313bbfee6a647aa,sell,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x3aa5675b73522da7aa948d05b875f0b16afe80c218c66d5ac181d80eab25e350
14,95,0.285,0x8590244f1652da625e8251cc86c61903c6dc8b6b,2017-11-01T23:36:58.000Z,0.003,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x3ceeab0d38752cc952bbd84ec06cd31c9fb67df056bec7cd4daa8b5345cddb97
15,10,0.022222,0x36513e2ee2751d2b679479424f0e9eb48695bfde,2017-11-01T22:29:08.000Z,0.0022222,0x27700a84f2b2586ed08cb74aafce1acc627961df,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0xfc684c168464751ad639ce7c997d48650770b0692f6f161250f5e36c45bbf374
16,10,0.022222,0x36513e2ee2751d2b679479424f0e9eb48695bfde,2017-11-01T22:22:02.000Z,0.0022222,0x27700a84f2b2586ed08cb74aafce1acc627961df,buy,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0x0a1463d3008662ce7e3138b3f1513753a009e32382badaebeb921a17c6fd0a8c
