,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,51,0.02244,0xd483b1ded6cfcba80640dff843ac07b391f90005,2017-11-02T11:37:14.000Z,0.00044,0x4cd6aaf29c19187f8c7ed5c95313010c81f59298,sell,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xd083dea09a1ae8b4a7741d4c8e6291edbd95358dccadec13c38b69d3f77d9988
1,420,0.1932,0xd483b1ded6cfcba80640dff843ac07b391f90005,2017-11-02T11:36:03.000Z,0.00046,0x4cd6aaf29c19187f8c7ed5c95313010c81f59298,sell,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xdafcdacb0131696fe90895091db45cdf32e27c25f5a9af1c0bd7008259c851c8
2,420,0.193242,0x3de03fdf5597385f48244b5c100ee25bac9cedf9,2017-11-02T11:35:12.000Z,0.0004601,0x4cd6aaf29c19187f8c7ed5c95313010c81f59298,sell,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0x8f35ddcebde5abaca3ed30a99fae5eb6f8f7b154b272914d8e9337488aeda194
3,203,0.11165,0xdea025c3f2bc0f876f3649568e7c93d9396e6958,2017-11-01T23:35:38.000Z,0.00055,0xd483b1ded6cfcba80640dff843ac07b391f90005,buy,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xb8b1127f1d54ca5233672dd7163662d69061959fe89b51679b1c8a7befc3b4f1
4,300,0.1647,0xa8ebce443fddd76cc1ab018d96b4f5e3b629f1e6,2017-11-01T15:50:09.000Z,0.000549,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xf3eb8920cf6612b1fbe344ad295bb12a110685de9c361ee75da14093a90c8136
5,300,0.1647,0xa8ebce443fddd76cc1ab018d96b4f5e3b629f1e6,2017-11-01T15:49:05.000Z,0.000549,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xf3eb8920cf6612b1fbe344ad295bb12a110685de9c361ee75da14093a90c8136
6,60,0.033,0x18dd594370c9cdce085182691b90f42af55b4add,2017-11-01T13:11:42.000Z,0.00055,0xd483b1ded6cfcba80640dff843ac07b391f90005,buy,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xde79403d439dc19728e07caafc58ea4a293f1eb9d73d665381a384331db0af68
7,515,0.211168025,0x953d1111662196af36e9d387c0f909e14111fa76,2017-11-01T12:02:14.000Z,0.000410035,0x045e718cc8bf15f93ea31e94e95b6ce5ea2fa423,sell,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xb1a94b934ca420e60fca836aacd84a8c72ff522098e5582904b9fcd66a55b20d
8,123,0.070725,0xc7779b91676a70c3628a0fe6dc0f5d36789f7e26,2017-11-01T07:50:54.000Z,0.000575,0xd483b1ded6cfcba80640dff843ac07b391f90005,buy,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0x525dd2535e46d04d39bc7aebdf98d0871a8ff78ac081a4e5170efe4a8bf9af6c
9,30,0.01230201,0xf7c8850c080d7d86e12207128f54f48d6b4c26f0,2017-11-01T01:52:47.000Z,0.000410067,0xec8dbdd4daa3bb5d31a36af99f7cf986c6bad31e,sell,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0xf6aaa44f69fa94d5320dc8373941c8d03bb7ad148b1a35e354fedeb2eb178423
