,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,50,0.11,0x2fd4c73c123aea32f98d23beb4b2435a9d5249ff,2017-11-02T11:55:54.000Z,0.0022,0xe8923a76b34169d4e3982889f7525c110c4e7da3,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x9518af70529bde27895f51e1422d1e43397dd7b53098cd618f44d07b0444b789
1,150,0.225,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,2017-11-02T11:15:14.000Z,0.0015,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x2bf7f2836607898e2ea0cc82ca7e909f6a10f30668f2452bb3de823168496cda
2,60,0.09,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,2017-11-02T11:14:16.000Z,0.0015,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x2af4c0a16b6d5b7fe3fda64a02575c349042f40197d1b27f344c7514292d6778
3,40,0.088,0xdbbae39c54992479faac890e81eb4d8579b951d6,2017-11-02T11:08:15.000Z,0.0022,0x9381d0481ded41eb49f18f3066d6db046e290467,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x9a9397d79903cd31a744241a13d1ed619a84e1c4c45b20c857614c0838ae8a56
4,40,0.0892,0xdbbae39c54992479faac890e81eb4d8579b951d6,2017-11-02T11:06:01.000Z,0.00223,0x9381d0481ded41eb49f18f3066d6db046e290467,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x496e9e3e0b7842c6c973f5c7fdd992290b710d3c6f454d4bc86f51766e8aaf92
5,500,1.12,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-02T10:58:13.000Z,0.00224,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x76b1bcedc92e09da34dce62e1753f7e288f964c9818ff8fd0c08fc3cfb5c0e77
6,40,0.092,0xdbbae39c54992479faac890e81eb4d8579b951d6,2017-11-02T10:48:01.000Z,0.0023,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x7796187f19cc33b1f4634d48e1de1c9779e24b7d7cd765b606f33d93dbe2ab21
7,877,1.99956,0xbb4de5faccab80d7bd87d61d86f5c360ff0899ce,2017-11-02T10:47:24.000Z,0.00228,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,sell,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x4fe9791d242989c746d7a85d771397ac025c7d10c159ef7ae3e86a8e355d3e39
8,208,0.4368,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,2017-11-02T08:26:56.000Z,0.0021,0x7daf32693036787036d039162ef9437151130bcc,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x09b67a414a817d0e21949a5a8c2a1e34618203d14239b7c360fa65254a01e7d2
9,348.8,0.73248,0x2f2d920d4b142be2c025ecd9a2f48b14c515501f,2017-11-02T08:26:56.000Z,0.0021,0xa42e7220258adede7e13a5043c4d0141f13e990b,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0xb785bd37864d234d45bc4af85eac070b422fdefdba455ff93c33c9b0caea48bf
10,828.45944651,1.6569188930222354,0xf732b16f5aee6cd2db5b30a7a3860764a48b19ff,2017-11-02T08:24:06.000Z,0.002000000000002698,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x33d043a774cbf75a41a696a02cd9a7486a974738fddf6deade22f0c0f548b3d6
11,408.77417562,0.8175483512594947,0xf81ab81ca1a6a19cc7b69b2c7876ff6543060598,2017-11-02T08:23:14.000Z,0.00200000000004769,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x5512de30739bf1658499d172515481c7f0fb7c6cdad427fd308bb9e1769b5d07
12,902.22154793,1.8044430958683824,0xf732b16f5aee6cd2db5b30a7a3860764a48b19ff,2017-11-02T08:13:51.000Z,0.002000000000009291,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x183e140dddfcad23bcbb92bb5e0b966d00c3583984d45223079bcc0ff605d0b3
13,174.54482992,0.34908965984988766,0x603ad2cf7a65b3e3af598d6e884d9cd512056ddb,2017-11-02T07:04:33.000Z,0.0020000000000566483,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x2df4bbed04081ab758cebd7fe0b158af42b3fa25f556e85e3b515a3122caf06e
14,20,0.04,0xb0b7e00edeb5aed457e2c9806329a1df79bf93c4,2017-11-02T06:36:21.000Z,0.002,0x8efdb5ee103c2295dab1410b4e3d1ed7a91584d4,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x42c2e823ca3030df47ca2a8aaed2f926c4c60e5e2b0d27c7e33b5ad6ad3e16bf
15,15,0.027,0xb0b7e00edeb5aed457e2c9806329a1df79bf93c4,2017-11-02T06:35:32.000Z,0.0018,0xaa5a8763179d7e24b0230e981cf7cd5d9fa7cff8,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x1d7d6c29a2032e7cffab1fe1bd6d42014d8e188fc9b5a8761c24f8d6eb89fef9
16,4.226,0.00748002,0xb0b7e00edeb5aed457e2c9806329a1df79bf93c4,2017-11-02T06:35:30.000Z,0.00177,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x5b5592fe46d58e474b642c6bc90d31e15a0befc38df7e7ada0c526becd49ba7c
17,0.0069974,0.000012385401139233,0xb0b7e00edeb5aed457e2c9806329a1df79bf93c4,2017-11-02T06:29:37.000Z,0.0017700004486284906,0x254fb89e4cab71708eaab16e067ca8156a38e18a,buy,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x2fc7bf45eec83c68f2c95a792a8a61039b4d8ba0e78bf55206141a3ef8e76433
