,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,2195.48,0.9177143576428902,0x4680f5c6f55b46e9d86e33c7bd49655e585cb913,2017-11-02T10:11:41.000Z,0.0004180016933166734,0x23c54718330e3d7e8d98895cd41886369b0b4c0d,buy,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0xa383c4a8419161321d28ab51d735e0b6673a0e19c5d837f472ca7f006c6beab0
1,5221.2,2.140692206952241,0x4680f5c6f55b46e9d86e33c7bd49655e585cb913,2017-11-02T09:59:13.000Z,0.00041000003963691126,0x0d7f2f3fba73e05a32d904b6c740abfaf1b0d71b,buy,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x01bb9525ec82493c14e60f7cd44f7ca1e4b4832a40a251db9c49c5e7aee2d2b9
2,3120,1.2792,0xa760e26be163a8614986068ffa5cd766bb35a000,2017-11-02T09:23:49.000Z,0.00041,0x0d7f2f3fba73e05a32d904b6c740abfaf1b0d71b,buy,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0xf720b93b9ebc210797b0ff052907a5947c1cc47c3d1166ee9fb275b246ed704b
3,138.79,0.056907793047758844,0x0fe614ffea49095e98e6cb5cbd589f5455bf0f02,2017-11-02T08:46:45.000Z,0.00041002804991540346,0x0d7f2f3fba73e05a32d904b6c740abfaf1b0d71b,buy,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x36965cd0e95363e74c54a6392dbcafecf7f955665fc4645147d8dbab854b5c8a
4,0.07,0.0000259,0x00bc39bff54a0efeede91652921c908b8d6a7c5c,2017-11-02T07:29:14.000Z,0.00037,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x7ceb7e9b9e343e5ff7267eacf873aefdc3ffd682d6b50043b6dac91525dc01b7
5,638.82,0.2363634,0x00bc39bff54a0efeede91652921c908b8d6a7c5c,2017-11-02T07:28:25.000Z,0.00037,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x542c5aea9e7495b635b84b11956223ce73bebbc1be2d1285da9afa413f812274
6,80,0.029608,0xdfa60da00a569e455863c0bff4362703edab4e9f,2017-11-02T07:26:59.000Z,0.0003701,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x46046407a184c3838236975523c8e6e07153c6545a4300edb33d18fb521cb7de
7,14943.22,5.6784236,0x36e097d4dac684f0275334d92d45e6f97a63c56b,2017-11-02T07:25:03.000Z,0.00038,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0xacf9d536400045894997aeb42dc48776fa63846085531b8efcc31e5ef733bb79
8,200,0.07602,0x383932e5467528999954bf192452e390e1c84795,2017-11-02T07:25:03.000Z,0.0003801,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x46ae39f66c1afdbf6a1c9d43d6e907cec5c26d268fdfc99a1ef1654e59159dbb
9,100,0.0383,0xcd2356d69f7de4c1f84f33d9effde212e2b2c9ac,2017-11-02T07:25:03.000Z,0.000383,0x4c571557888393ee279b5cfca882a28908469bc4,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x9d9c264d69e787f242e21c701343495231dd024b7a132bd8f5121baf0427f5aa
10,3277.88,1.2455944,0x36e097d4dac684f0275334d92d45e6f97a63c56b,2017-11-02T05:55:05.000Z,0.00038,0x76b5d94a75b29f935d1270ccae42ad938f3ac1f8,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x5307ac240bb08eb8700cd6e9f9654960e77fd4140b4365879dc00d43c63192d3
11,3761.12,1.4292256,0x36e097d4dac684f0275334d92d45e6f97a63c56b,2017-11-02T05:46:10.000Z,0.00038,0x23c09abbc301e4bd6396548f5f6005ab345afb7e,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x8c053d8498ce72f8172c4f84efff24605b03ed777bcb3cc6897ed2e38e21aa5d
12,2500,1.045,0x89d400d2268df5f9e4590c632f407bda11fab028,2017-11-02T05:23:11.000Z,0.000418,0x23c54718330e3d7e8d98895cd41886369b0b4c0d,buy,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x60f946be21359fd511babd6ed3b21f26d74bb60eefb5a804c130dcb1381209cc
13,4025.02,1.5295076,0x36e097d4dac684f0275334d92d45e6f97a63c56b,2017-11-02T05:11:49.000Z,0.00038,0x9c9fde6b46b89d48d0986e449ff9c546ff029f59,sell,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x51d6c0f2746474bec79ab508912b10cd5ca0c3b6f4c3d9e290489766af5acfda
