,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,307.60801515302563,0.09228240454590769,0x11c4a57e3628c051946cd7bb3ab955b5a1f58ff9,2017-11-02T13:49:29.000Z,0.0003,0x15b334b8a6b355ee38ac5d48a59a511949c04961,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0x7cdfa820281f4de03c2eb7375406353e72009f85126f5e92449eac3a315ec7e3
1,125.58136775994417,0.05023254710397767,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-02T13:38:50.000Z,0.00039999999999999996,0x15b334b8a6b355ee38ac5d48a59a511949c04961,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0xe83477fe73ca4f0e3bae81e5ecdef453d5cfb9a2cdf76dd2c3c1be1fba8f52e2
2,0.11863224005582694,0.00004745289602233,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-02T13:33:27.000Z,0.00039999999999999346,0x15b334b8a6b355ee38ac5d48a59a511949c04961,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0xa56052ffb53e5f3793c3c862d82965527aaabf8ae3a6bdcaca9a6cfbbac298b1
3,498.45479015053337,0.19938191606021333,0x588e593f01673408e3a9a4974fad2103734eb69a,2017-11-02T09:19:54.000Z,0.00039999999999999996,0xd217ef7a7ac86c24bf603b9b8cddeaa45c99832f,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0x0c78545f691a5afc800b72dbd6354976c3f1114f77823f952ad79455392b460a
4,1.3,0.00052,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T23:26:48.000Z,0.0004,0x33dec5ebf2c5775e179fdd81d28c70d87281c23d,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0xd87f5891e5f029adfa6e425696502a866c75c4e59ef16687cb9f91a92c6b37ce
5,373,0.1492,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T23:22:48.000Z,0.0004,0x33dec5ebf2c5775e179fdd81d28c70d87281c23d,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0x3ae0ee2065b4f968047b2f39bce9fdc55e4a7ddab6483ee07ccff217a3df65bc
6,200,0.088,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T23:21:14.000Z,0.00044,0x33dec5ebf2c5775e179fdd81d28c70d87281c23d,sell,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0x4a7d3803ee6315b5c0dadb3a2aca42505f124072f3ccf27f998d9e26fb585b09
7,108.841,0.0653046,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T21:49:10.000Z,0.0006,0x8f0c2380fa69fa17197b606dcde094fec2d7fe9f,buy,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0x81a030eb3698ca95d1e6a8971b64d95937331790d12acb6e7e161fe541fd7fa4
8,100.821,0.0604926,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T21:42:28.000Z,0.0006,0x7830dead8ec710f5deb0ff04b8c066674bdc8d63,buy,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0xb160a8d886d85ae3941a168234072190cd3fab8b1c3b4718b3e2135a5d9d32f7
9,217,0.129766,0x0c3b117c144f6d33d28479dda01d25c849eb01ce,2017-11-01T21:40:18.000Z,0.000598,0x143ecfee04a13884e5310fe20c61abb954fc5e09,buy,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,0xe86fdb62d8579fe149332326af0f98144580cd0b6c4bca610844b346d4e232bf
