,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,5,0.1245,0x4ca1b37e8f8f2327e67ae47a24bc77375e227573,2017-11-02T08:02:07.000Z,0.0249,0xe4bbba7bedcb7bab98a14e59a723d4338abc1e62,buy,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x34f1faa9df64a9cbf54b763b09c460b75049cb6e4176697878d4c3af60783d1f
1,97.2,2.3328,0x4ca1b37e8f8f2327e67ae47a24bc77375e227573,2017-11-02T08:02:07.000Z,0.024,0xb9af9e3af2347b952e5c12950c2eeda719c4db34,buy,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x58bca73ca429695a8c2b26b4fc1fef403958d4fb7bba7caba5115f710cf66ce8
2,39.802551,0.739093569519,0x120c322c0b1477a5c2eeb6f9f06d2c98797f485f,2017-11-01T09:46:02.000Z,0.018569,0x953d1111662196af36e9d387c0f909e14111fa76,sell,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0xaf553a69abe0e72bfd72b06970ecd5a5883ddeae90f32cbe5bb82c1592bf11f5
3,24.665,0.458004385,0x120c322c0b1477a5c2eeb6f9f06d2c98797f485f,2017-11-01T09:44:49.000Z,0.018569,0x953d1111662196af36e9d387c0f909e14111fa76,sell,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x20e956a7e6233ee11038c75db4983abb07a90c814e8aa28ad6714cb251b4cb79
4,97.697138,1.814138155522,0x120c322c0b1477a5c2eeb6f9f06d2c98797f485f,2017-11-01T09:44:29.000Z,0.018569,0x42e355e391a8c8379eb882661fe78dcd8dc271e2,sell,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x3986c675836d944aad8acc6230ed8d84ecc59806940df49b9d9d8914a4c78836
5,4.193,0.08386,0x2fa6c619dcccbd1c360fb21b819a8d700b4280a6,2017-11-01T01:40:30.000Z,0.02,0x953d1111662196af36e9d387c0f909e14111fa76,sell,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0xfdbe4b50740a5703ef3c39871303645c3ddd4aeae24427399b15b50c6273f96d
6,28.192602,0.52353661914,0x120c322c0b1477a5c2eeb6f9f06d2c98797f485f,2017-10-31T23:34:01.000Z,0.01857,0x6c723da0e2243be0d60a23801c00039b98ce35d6,sell,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0xd4db80266a02d41e95aa3d9424cb2157754ca680571f89233f44e97668f390a7
7,11.35,0.28375,0x25d33e213ca4f734895e6b7001f3b5c55282c5cd,2017-10-31T20:06:06.000Z,0.025,0x8efdb5ee103c2295dab1410b4e3d1ed7a91584d4,buy,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x4ba2d6e2718c67b2945666b422ed0579a9cd8faddecc9e8382cadf3c1aa4f103
8,2,0.05,0xf82c7c1503a06fcf927ee401a7b868bf067715f8,2017-10-31T14:38:54.000Z,0.025,0x8efdb5ee103c2295dab1410b4e3d1ed7a91584d4,buy,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0x41a70977d367fb9c9c04c83d2cfdf67bfcb862baffd7bd37e193b2c3ef6ef296
9,0.1,0.0025,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T12:50:09.000Z,0.025,0x8efdb5ee103c2295dab1410b4e3d1ed7a91584d4,buy,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0xc2a4b955e2f18c96346ade672d2bdd80b5bef2f8be445ef8dd60b077c449eb1d
