,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,500,0.1975,0x7343c728094ae66542a47191cbe2acfc494171ca,2017-11-02T10:34:14.000Z,0.000395,0x8266075f3d643e48fe5637287cdf7030130b4dad,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0x703c3bebb644a120ea8de168666b0ff48a5dfa98db731a50f425366eab189794
1,6000,2.514,0x7343c728094ae66542a47191cbe2acfc494171ca,2017-11-02T09:57:04.000Z,0.000419,0xe23d91d9d6c1b08f7f3477f902123411901bb30b,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0xaa9ed1d8fb0a7659c5a8a6ef4bfd3a7f79c0a765a7ded2e0bec49f4e15cc79f6
2,620.7555577709102,0.21726444521981855,0x8266075f3d643e48fe5637287cdf7030130b4dad,2017-11-02T08:44:37.000Z,0.00035,0x44675135345a24140f3e3516d0d2a3501d4dca99,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0x2bde6584a8943f804176b4643bcb99c84c112ca7b176546303de0dad0e0bf80e
3,495,0.168795,0xdef0083fea701af025c19bdf0d328d5a44eac384,2017-11-02T06:59:17.000Z,0.000341,0x14d6a9617a144ac2ee29a309862a3d88ba2820d6,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0xbfa0649a20fc0fbeeb6b9cbed41683326b9808f620737debede8d786263caa6f
4,1534.4172817867761,0.5124953721167832,0xcc323a4b4b9db915cca2df49c1364353bfdf268c,2017-11-02T03:37:57.000Z,0.000334,0xdd7c99c71bf99eb550f88c764062ea6e1538557b,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0x9423e010347258c35e0fe55e5785ce938c65974db595e6bd7363dc9c82493dca
5,3000,1.002,0xf732b16f5aee6cd2db5b30a7a3860764a48b19ff,2017-11-02T02:55:20.000Z,0.000334,0xb27ded47ea0d0877915f2ad81e31fdb2098283b2,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0x6fbbc805d4412b2056c70727d3f69078ee3bf84314ec581331a7565f19ee9a7a
6,692.994,0.26333772,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T00:22:00.000Z,0.00038,0x8266075f3d643e48fe5637287cdf7030130b4dad,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0xa4a62c8e25a91133d51503363980ee25fca70a3ef68e35277cf21dfb95d96074
7,677,0.256583,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-02T00:22:00.000Z,0.000379,0x80479636d971ccc142716436ac94828dee000e86,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0xb6c2e6611b49cfc3edeb33b1558d1b594f284e19f63029b792b014920ebc3bbe
8,1307.0058607789538,0.4966622270960024,0x92442456cb4ef8ec9890c707af31966373547509,2017-11-01T23:14:40.000Z,0.00038,0x8266075f3d643e48fe5637287cdf7030130b4dad,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0x0de54f2babbd66dc8559c478ae5e43469d4f677c2ca3a6b9c460530a10d455c9
9,274,0.09864,0x92442456cb4ef8ec9890c707af31966373547509,2017-11-01T23:06:28.000Z,0.00036,0xf1fd1047d9c3869fb9895b75ae2cb6233640b505,buy,0xb45a50545beeab73f38f31e5973768c421805e5e,0x331fff79300dd032e423f7d49b92dfdc89cd57ff13babf511e36eae15f375858
10,9963.11434552886,3.0198199581297978,0x29a3bcf59cca131fa8a6ea2ceb04d38270e26f09,2017-11-01T17:09:33.000Z,0.0003031,0x3e2ee1b447815a295be9966b8387fb59299214db,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0xa2c26ab3cae4300288d98fd4e8f9e44a343de3d381a3320a6e028f3b954b78ce
11,2000,0.68,0x8266075f3d643e48fe5637287cdf7030130b4dad,2017-11-01T16:44:03.000Z,0.00034,0x3e2ee1b447815a295be9966b8387fb59299214db,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0xcf154180a7b8d06a34dcaf6fca3d9baa6482fdbe85db7809059f3a5bb4442b9e
12,620.7555763134284,0.22347200747283422,0xfd4fb1da00f55acce00f30462280f409b65d4547,2017-11-01T01:28:45.000Z,0.00035999999999999997,0x6348883dbbedd9d647504fb40f1ee55f715a9507,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0x89b46ed68899a501cf4d54c31298b78e43bf02db588645352350e91ac389a0cb
13,2656.614,0.95638104,0xa2312851d68b8f40df119f1b63f95e7600d6fd98,2017-10-31T17:26:27.000Z,0.00036,0x75f375babaab59d42e6a1e4144c4d7327dd6081e,sell,0xb45a50545beeab73f38f31e5973768c421805e5e,0xf064984574841be148cd88f3d85f9e78e207c85e4f3a043d538e9f461cb670ca
