,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,4316.56646998,0.71223778411317,0x35622db1b45d8e42cbce42acb0629f10d0648bfc,2017-11-02T16:25:22.000Z,0.000165001,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0xea84e0df186a93929acbfd6d8c9213b3ce72f78449e4e7ad502c3104d885061f
1,13784.21652439,2.3019779437896544,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T16:23:06.000Z,0.000167001,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0xafec8b7e58687c41f15b0b785fce034dfcf6f62d6d64b1b468edfe49269a03a8
2,750,0.1275,0x3737490754c28510ed1f1c0d58aad1de0c060196,2017-11-02T16:21:52.000Z,0.00017,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0xb954dc7839419b9f99c9021bef59f91f0f74bdef21bfa5eab5e4763cafdfa5d6
3,6000,1.026,0x625309b0c5acf5334da743a16741fce5a56822cc,2017-11-02T16:21:52.000Z,0.000171,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x94a8e572b3c69dab2254cf3fd833e3e7744cd19694297e6a5477cb9c8c8df918
4,20000,3.42002,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T16:21:52.000Z,0.000171001,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x374765ffbf16d647a762bb37a285524482e375906ebf7c1fa8a26ecff110c616
5,5000,0.86,0xac356a90024840b8e524e7323f141b93823135c8,2017-11-02T16:21:25.000Z,0.000172,0x1d80982502f3bb75654df13aa32bbd5ac9cab7d6,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x2136419cced6379f7c80bf294d1efe0ddd4490b528b5cb618464a2fd2dcbb8f4
6,3000,0.528003,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T14:06:16.000Z,0.000176001,0xd63f3945dde8dc7198588c2918cd7ead8a6e9211,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x61d4d9c14c93b95295bf19cacf8f7b1e61e14580c13ae701829cf81a7c4212ff
7,4458.73637199,0.7847425060802492,0xac356a90024840b8e524e7323f141b93823135c8,2017-11-02T13:37:55.000Z,0.0001760011,0xff8fe6a8c9ed4efdc7e165dd97084300e059499b,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x5f3b04d259ce951c82cffbf672dabcbc0fb3ac6859a34aa4bf326b8ad5aeb0ae
8,199.38191606,0.03389512511211606,0xe5830fc331aa8eb94b6a6daba5ae0ad028e5e222,2017-11-02T08:32:44.000Z,0.000170001,0x0fe614ffea49095e98e6cb5cbd589f5455bf0f02,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x007d5f6b2e2291e13707d97da25435007fab1371f0ec1f58e2b407013cbe7151
9,2096.70022928,0.3564390389776,0x625309b0c5acf5334da743a16741fce5a56822cc,2017-11-02T05:49:16.000Z,0.00017,0xe6c92b9517a451e6479f307dc15998be0d221dab,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x540d9adae7b58665d06d1674d4014abf800bfcc9c133d33b2df57f8697163839
10,3708.3066411,0.630412128987,0x625309b0c5acf5334da743a16741fce5a56822cc,2017-11-02T05:21:08.000Z,0.00017,0x1caa750048aa9dcf487a55e07d37fad8d1a05639,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x96e0abb0e55699ac55c25839a91842e200c6101f009507ab3d10ad82871cae49
11,0.84039915,0.0001411870572,0xa18f410cdeea7148dd2f51c217173637f5691243,2017-11-02T03:17:25.000Z,0.000168,0x10a04b1a6776793e4ea65d69145d66c3e85cc9c7,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x66462da4e2cabef96f5d8970df02b45a41530e73a040c6a4302f364c72249212
12,8430.04382816,1.41624736313088,0xa18f410cdeea7148dd2f51c217173637f5691243,2017-11-02T03:14:18.000Z,0.000168,0x10a04b1a6776793e4ea65d69145d66c3e85cc9c7,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0xbcba38835b3e32e89db45003f11d17a59a3287a5f2b2f0dd3af2f8e3c29e2b00
13,168.44382414,0.02829856245552,0xa18f410cdeea7148dd2f51c217173637f5691243,2017-11-02T00:50:34.000Z,0.000168,0xa54ffa43d11698bc300d924781518b71dd10f0a8,sell,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,0x3bd81520ad3ba65babf798fc5694f282be093ef71e4cbe921ad30fc5f368a00f
