,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,3881,0.01292373,0x29b8eca0a380c562a00b7e5d1fbc624e5be736a5,2017-11-02T08:54:56.000Z,0.00000333,0x9b73149133c7d34a50b6b078d1244961e3c39768,sell,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xcad44cb2678b0436c827a510980c7940f89f810d6e5291e18283a48cac956cc4
1,1,0.0000035,0xd9f2422e6ff4956017468c137ac7bcc777f423d0,2017-10-29T12:17:23.000Z,0.0000035,0xcb8c470ade68afc21e307891fc3cfdf37f960b6d,sell,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0x5f5b8091a961e7ddbb251320b3f33c4ed156ba167d7e0868bf2221c107675c31
2,331,0.0011585,0xd9f2422e6ff4956017468c137ac7bcc777f423d0,2017-10-29T12:16:43.000Z,0.0000035,0xcb8c470ade68afc21e307891fc3cfdf37f960b6d,sell,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xe77d7633fef370f63215fbaaf7acdea97238108692539102fbd54161f6260c44
3,99690,0.30325698,0xbcce870909b3dbbe28f744f69b080dbdeeb7748a,2017-10-29T10:05:52.000Z,0.000003042,0x568f739c811eac61aa4ea2390801574c3914eb02,sell,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0x91f8eec9e18b1c8e008a7a6bffdac8d6518be5e93fa20b55e1e8019fa1f74cc2
4,41,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T21:07:50.000Z,0.00001219512195121951,0xa3d7dedda551204ccb03bd79aa87824cc453b8de,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xb5195bebe1455cb0d1b007a60aea9b65d95490a5dd6e8393dde8cc35fe03513c
5,41,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T21:07:06.000Z,0.00001219512195121951,0xa3d7dedda551204ccb03bd79aa87824cc453b8de,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0x4e112d749163472887fb922eea451ce20f1432a9db44abe38312214afdc5d1f2
6,21818,0.185453,0x885dd0a8df8cbefaf7ed8b73709c00876356959b,2017-10-26T10:07:37.000Z,0.0000085,0xc9087108b890f9aee9c5b878c6f062a2b0c730f3,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0x39662fc9468fe6b0945545a86c4ef68c1f8579225095386d59171f330e6145c9
7,41850,0.12616101,0x6bedacc2356fb151bb616f2bb5303ba2c2b78328,2017-10-25T10:47:10.000Z,0.0000030146,0x9eb429cb38ad55553a6e83ccacd178c7fd27a26a,sell,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xde613475b28fbed738c2c033c9e7fceea886f7455339a8ea792314fef425a3c2
8,3500,0.08575,0xb16b8851a4ef8ab8ec7e7eb3c403f00443e7359e,2017-10-23T10:12:01.000Z,0.0000245,0xc9087108b890f9aee9c5b878c6f062a2b0c730f3,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0x68b3b14142c2560c35d41e84cc048784879cbbf823d012bad1cbbad77a7b8d4c
9,12500,0.30625,0xb16b8851a4ef8ab8ec7e7eb3c403f00443e7359e,2017-10-23T09:50:58.000Z,0.0000245,0xc9087108b890f9aee9c5b878c6f062a2b0c730f3,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xcfc7a4fc4d92d06dab9a9cd84dab26f164e8d88b44b251e42cf09bc5025358a2
10,10000,0.2499999,0x3736cea2db033e184fde16d5dbac41fecb623bec,2017-10-23T07:15:36.000Z,0.00002499999,0xbcce870909b3dbbe28f744f69b080dbdeeb7748a,buy,0xaa26b73bfdc80b5c7d2cfbfc30930038fb7fa657,0xbb8e9f368ff0e3cde2f0d92187336e6d8c5d0b30e602f70f1b12e19391e845d2
