,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,0.001,0.000169998,0x9a06fbfff4fc2a339927c1cbbde1a1fc23ce3c27,2017-11-02T15:03:33.000Z,0.169998,0x2d9fc233902ee67bb6d36f14286949e667b87fb3,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0xa52944cadac70f3b66102b5e516401176705ca8b2b20f70901da3f4d69879550
1,62,10.602,0xa7cbecde71372712d66001244124302ab972a7ec,2017-11-02T14:58:18.000Z,0.171,0xbd4d43682374570416cb764921b697bc9d087243,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x98bd787ba11a3be8155c0bc2bed0d6bade27fc6d21e3cbb311a486a7c6c007fb
2,15,2.532,0xe3ffce34a5b994d028bc42967360ebcf0a42a2e2,2017-11-02T14:43:29.000Z,0.1688,0x2d7ef44fa3dca7704ad273d2ac44751be55da220,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x31983f1a3ccbde7d8376aa7b6635072aed70e970aa285bc2562d9538401c268b
3,10,1.69,0xe3ffce34a5b994d028bc42967360ebcf0a42a2e2,2017-11-02T14:43:29.000Z,0.169,0x1aaecf97d537e7c767d88737427a4833095213fe,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x5f5c84bffe30a82815019912bd0d18eb8d9d0a31fd018902b3829d91f122b1ba
4,2.885522,0.485809,0xe3ffce34a5b994d028bc42967360ebcf0a42a2e2,2017-11-02T14:42:21.000Z,0.16836087196701324,0xdc67e92e594a5bcadc8c0e888da4d79f0da831b8,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x9235eb833c2499d142017f741e15b53872a6865e0066d69a273625ee8895478c
5,2.967897,0.5,0x662d06f37d4e142b8417356430ea49f36a9dc9d6,2017-11-02T14:37:12.000Z,0.16846945834036695,0xdc67e92e594a5bcadc8c0e888da4d79f0da831b8,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0xa1a3923b94adf0903cefb9f572514f7fcc375620ca7b0e614b338c3210f57396
6,27.411,4.577637,0x662d06f37d4e142b8417356430ea49f36a9dc9d6,2017-11-02T14:34:29.000Z,0.167,0x89ebab0612bc4b7139d481c5ddfed506930c6eb7,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0xbf9a5f3d642d6b43356babc33e5ec57d4b7a8ea31be96bb415f95911ead95bff
7,73.0999994688,12.1711499115552,0x662d06f37d4e142b8417356430ea49f36a9dc9d6,2017-11-02T14:34:22.000Z,0.1665,0x25b526f1fa80bc0fe68dd3e24527860b58ebb0c4,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x07c228dfbc42e9b5981e4b5844bd33893ec465f7258674adbb46cae485297f62
8,48.69471771107533,8.039497894098536,0x662d06f37d4e142b8417356430ea49f36a9dc9d6,2017-11-02T14:33:59.000Z,0.1651,0xc4848c8c9e2325e32a1b3110229fe307ec5e6252,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x2e44390af325172d8e07b0f0df839abd2cd40f73f498f1be42d881c8f4210fd0
9,1.305282288924675,0.21550210590146382,0xa28be81f7236f93af905ed9ec6684d629391233c,2017-11-02T14:25:25.000Z,0.1651,0xc4848c8c9e2325e32a1b3110229fe307ec5e6252,buy,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0xf748dfcc4cc6e4cf754d7b5b10e9a48f1aacc9530e59c2ccde1d1df11ae62651
10,9.511015850862327,1.5721804311633936,0xfe988cd30fa97f5422f5a4ae50eafa6271cd2417,2017-11-02T14:12:31.000Z,0.165301,0xd3c7d671e67549e54ff47ec38d3d78fb88b89b3a,sell,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x7ff4889f44acaca85409ec82633d7a9e1d97a3a813b428a50c1106ca2a48487a
11,0.5,0.08325,0x78aa31fc0f39df1f038a5fc6fd1b9945af3a66de,2017-11-02T14:07:59.000Z,0.1665,0xd3c7d671e67549e54ff47ec38d3d78fb88b89b3a,sell,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x432323472ad9a30a4ac39ea99321ac433d1bc307d476a849b50b69a9ed4637c5
12,4,0.6652,0x71a62d63167d69856c42a09aaca4c5a6b7a56ffe,2017-11-02T14:04:11.000Z,0.1663,0xd3c7d671e67549e54ff47ec38d3d78fb88b89b3a,sell,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x3e952346c83660cc7a75644f4f0cb4eeb814ff5673392902334ae935c425d0e5
13,6.573714345231275,1.1010971528262388,0x6e7059d4d77945d5685ba91ff3b649325d1fb352,2017-11-02T13:40:10.000Z,0.1675,0x1f22b9a1346ff129c014e4601e06155f5a47ec88,sell,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,0x12cccc31e0a72360811f60cf0202520bae77fc3f3ecef643a31b6e3d3158889a
