,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,43,0.7138,0x7762c03ff6292875f24c634cde56cee2aec86270,2017-11-02T13:11:11.000Z,0.0166,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x8705f581169f22c2941f51d0ac6381687f3ebfd76bcbdc52fcf1935221bf72a4
1,0.6367398538271657,0.010315185632000083,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T12:52:02.000Z,0.0162,0xdeb7cce1d1fc7f8b7a9573352f2ad71597dabaf1,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x1a0c342ce937fb24eb26dd24a641f687459a91e061387c903a61cbc1ac965d8f
2,1.1489298795180722,0.019072236,0xa3490c145a1eca9eeeda137188da714df23e7a8d,2017-11-02T12:51:42.000Z,0.0166,0xdeb7cce1d1fc7f8b7a9573352f2ad71597dabaf1,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xad58ee4120e60dc027e3598f7bd8945a6e5dd2965f076e8001521728d60fe1d7
3,0.18,0.003051,0x6ab82901482016b1e639a73b02d67454382dbfb3,2017-11-02T12:51:21.000Z,0.01695,0xdeb7cce1d1fc7f8b7a9573352f2ad71597dabaf1,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xce78e84dfd3cfcb179b393f5a821ff35865548ffb617b9537dd5ae18463a759e
4,207.9987516802204,3.1203976887041702,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,2017-11-02T12:45:57.000Z,0.015002002,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xc5adf504d2acbee000af3e3752f829f7328401033ee91fe3bea0d4df92c30fe8
5,1,0.017,0x75ba5e97caf179995b5383d91bdd9eade220c553,2017-11-02T12:40:08.000Z,0.017,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x3f42a9b79443b7c51248ffcc1dd99ae8cc99c84178fa4dbddda16c826e1f5a5d
6,60,1.008,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-02T12:27:20.000Z,0.0168,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x5e334307516df763c967ac99ad210cd910f3fce97683d66db1171c9d99d1fa8a
7,59.82,1.013949,0x6ab82901482016b1e639a73b02d67454382dbfb3,2017-11-02T12:27:20.000Z,0.01695,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x5e334307516df763c967ac99ad210cd910f3fce97683d66db1171c9d99d1fa8a
8,19.97,0.335496,0x5efdca26e7cbb98c4f23a46d7a724c6c9148d0cf,2017-11-02T12:24:16.000Z,0.0168,0xcd03e8b9dcbfb3100de5b01d5bf6fd499a12bac4,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xcef8e5380c75054869193ed15005bacb5bf368445f2496c30293c156dbfb543e
9,200,3.102,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T11:19:03.000Z,0.01551,0x4121bd8ab6219b43af31686347a8fad622dba135,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x189212fa12d9cdf809fdf1eef214cb6275bfd6d230775ea5d05e5190fd3ac681
10,41.963,0.6504265,0x9fa1621d504640fe0bd3105252b66788c668223a,2017-11-02T11:12:23.000Z,0.0155,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xae025f4c7549bb86269bde31a2be6aea44cd0861bd3e4a5f761ee0a133d2b84c
11,100,1.54,0x07a2b0a6dda237e9689fb9ee5ad82564848219d5,2017-11-02T11:12:23.000Z,0.0154,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x0a6332ae83de7e4afd1a59763037f7def97a87394a4d85f215f1bfee7d01bd04
12,20,0.32,0x477ebc76482312877ea4727163b883d481bbf4fd,2017-11-02T11:11:37.000Z,0.016,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x7d1af48523fa2cc350e4c3f9b3581d67a4fbe462625f251281b242eb7c7e27af
13,20,0.326,0x477ebc76482312877ea4727163b883d481bbf4fd,2017-11-02T11:11:37.000Z,0.0163,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xe2e5d04d60753e0e9dcf80e77a5cfd50ad5208ea05390fbb21df1b3cd08f49e5
14,200,3.2,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T11:10:34.000Z,0.016,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x815ba2f8927976fd8fd0627ab68de9573570474379ee71937b52b21a3453745a
15,11,0.1923789989,0x2bd8e3040265f729d6fee3d80a19dad7a5724abf,2017-11-02T10:44:29.000Z,0.0174889999,0x21de9e523991ccb64c665315af72c7d0564e049b,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x566b662f924130a32fa469ce9998bd6fe64ba790cad8fb3552bfe8a02be80841
16,10,0.17,0xbd4ccb290181b5d7d071b20c4f530e632b1ef7ab,2017-11-02T10:07:42.000Z,0.017,0xcd03e8b9dcbfb3100de5b01d5bf6fd499a12bac4,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xde191dbc6a496af50acf6c5fb00855baba7b6cc897ba782bf490c781aeb61e45
17,2,0.034,0xbe46dbbc1e3dafd0cbda9f40f0839d7aa4e8d659,2017-11-02T10:06:34.000Z,0.017,0xecac176f9e75432a93cb516727173d9be46080d4,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x3a2a749428531abf3ec24a4f26d3431c3ce7f4088830b365bd6f452527eb0093
18,14.265417632519933,0.24948788754859935,0x2485921f79226d8d2d1577e2981d23cb44ed67ee,2017-11-02T08:27:34.000Z,0.0174889999,0x21de9e523991ccb64c665315af72c7d0564e049b,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x885d1fcbf3fc956897b79742939eed020ee12dbaf0bf3486aea62385587513cb
19,5,0.23495,0xd54bf09532648e998f4f56e3d5b354395a8f9e29,2017-11-02T08:04:23.000Z,0.04699,0xaf318ec14c84bdb5b7f02db14154cc6b60e0b790,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xcbab85daf72c57aef3a25a65ab60a16dfde984ada47ddf71ed49d2aab9be955d
20,299.3632601461728,4.849684814368,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T07:56:06.000Z,0.0162,0x4121bd8ab6219b43af31686347a8fad622dba135,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xf68ea9514bca42b09c96cd5b6cc429b518a13eeee4753de02f8ae34998e629ab
21,10,0.1672,0x4be7bced82b314ad60dc69274a75757e7d5d93a3,2017-11-02T07:54:21.000Z,0.01672,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xe3653b4daec196acfe6edc4f70021eeb24c003bcb9b9f0d4a1463a3e3d45577d
22,115.48,1.90542,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T07:51:04.000Z,0.0165,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x739c094d0a0017e2168ea558eb8d21f35c7e3a26002562e07670e984f5a3f8c3
23,200,3.34,0x07a2b0a6dda237e9689fb9ee5ad82564848219d5,2017-11-02T07:49:20.000Z,0.0167,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xe6de2d8aa697aee7eaa13161b15c496261d6c3c8897a56aa4361aea2793cff6b
24,14.3,0.2500927,0x9ffced327a1a845ea530ecbac06443f842218420,2017-11-02T07:35:15.000Z,0.017489,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x5482b5d9ccb2859a57b421a3a0d81458e95ce7df7e5bbf81ae6f8a9a48cffd35
25,60.946828002668276,1.0360960760453606,0x3cb319e3dc7432c795b70ffaa05e90ba46107305,2017-11-02T07:16:52.000Z,0.017,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x9ed031c698318fd5100c655211b9672e59f7387c052b4688ac692213a44d02ff
26,13.138592159807217,0.22729764436466485,0x81c2976c8637f6f3610050f20b58287d84cc5a53,2017-11-02T07:16:31.000Z,0.0173,0x1be5e64f9d12be1319c841b946d59f444c61b9a5,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xd3de515f5f10ccc20576913dd09aad4303ed7be48633d67d36a387431c7f6dab
27,0.1244078401927829,0.002152255635335144,0x81c2976c8637f6f3610050f20b58287d84cc5a53,2017-11-02T06:39:04.000Z,0.0173,0xe41ba7cfb98a58305596d551a87d37960f5f532a,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x7a5a5874f9c2c7cad22e7224f3bf00001d5b47d26111363323af06c4e2c9ef4c
28,37.63162390138957,0.6999482045658458,0x3c53a3d8c2e6202b1e097217d55516dee02172f6,2017-11-02T05:25:24.000Z,0.0186,0xe41ba7cfb98a58305596d551a87d37960f5f532a,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x061b76f2e38e77437bf0b41c8cbb91d748c14fd5679ca37b7bb43f4e32a245c4
29,5,0.087445,0x3153b0e03e7544e72250188b06979f1a97a188d2,2017-11-02T04:44:01.000Z,0.017489,0x4121bd8ab6219b43af31686347a8fad622dba135,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x047e758c4e9760b126018fc29f9459db6f6d30d4d3f16fc9834dd86365a5d288
30,84.51993834916505,1.3945789827612232,0x80762d911af19e62920fa2c7939bf0146963981a,2017-11-02T04:03:06.000Z,0.0165,0x1f782d0194cd7cdd06961f8852575fe85dc64592,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x81d8ec49564302b53ccae26cbbca55214fffdaba52da86640fea36d980ebf7ec
31,59.5,0.952,0xcc2c7e6f865bdc3c8c8ef05f480d34edff43e8b0,2017-11-02T02:31:33.000Z,0.016,0x141605c92a5e23a375733d0ec559ccea2e6229de,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xe072a3beed14f327a5ddd3d950df8aa11d03580963503e1d5bb067188a9a5932
32,0.212,0.0035616,0x26af6b0e757054f09c254820205518023544e869,2017-11-02T02:28:26.000Z,0.0168,0x23c09abbc301e4bd6396548f5f6005ab345afb7e,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xad37b08626c0233c142f55ecccc39329e2dc2c0673c44901298390112c4727fd
33,200,3.2112,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,2017-11-02T02:23:24.000Z,0.016056,0x141605c92a5e23a375733d0ec559ccea2e6229de,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x172bc473caaaca1adf04c2ea7a50f8f796ef16e99c2474282c3b62002b89b205
34,7.9752766424085335,0.11964510018941282,0xa59fb839e80142c9d0515155702d35f9dce4439e,2017-11-02T01:48:17.000Z,0.015002,0x9cbe6dde0c603fee6dd45dda86fa6dfb33f6dd37,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xa1eb17b57294d1cfd6ef2412a2053c814b1f08004afde7f1a5247dba67df40f7
35,19,0.3135,0xd33e0d4e8eb5fb98b04bad1bddb7060c29c1eb0e,2017-11-02T01:21:53.000Z,0.0165,0xbd89eff33fc19ac54205701506c875248cf7c52d,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x4eb2007505e5b582277c828925049ae0d7bc8f164f266b8f394b21fd6925ffab
36,0.003342751258071322,0.000058535254897963,0x9afcca46b663bda84aa1bb420ad3a35a706e9d39,2017-11-02T00:59:07.000Z,0.017511100999999706,0x0c8a9ea8a3844253eceb6a0301d7901119a6da8d,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x5b3f41c2aa05d3839965ea56687d6773ce77425927ca8ed7f5855812c12a3a40
37,0.003352779511845562,0.00005666197375019,0x0c8a9ea8a3844253eceb6a0301d7901119a6da8d,2017-11-02T00:59:07.000Z,0.016900000000000002,0x82af6f6edd116fbf357aa5bb7668f58f969f723c,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x5b3f41c2aa05d3839965ea56687d6773ce77425927ca8ed7f5855812c12a3a40
38,1.1109076680990275,0.019453216377756547,0x9afcca46b663bda84aa1bb420ad3a35a706e9d39,2017-11-02T00:58:57.000Z,0.017511101,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x66ca712a7f644234064f18f90f9c68e14e0afa67a75429695e1faff3bdd1941f
39,1.1142504193570986,0.018496556961327838,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-02T00:58:57.000Z,0.0166,0x23c09abbc301e4bd6396548f5f6005ab345afb7e,buy,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x66ca712a7f644234064f18f90f9c68e14e0afa67a75429695e1faff3bdd1941f
40,62.4,0.998401248,0x24d7ed32eb93c8446e99a06b7f50e77ea4f8b299,2017-11-02T00:47:13.000Z,0.01600002,0x82af6f6edd116fbf357aa5bb7668f58f969f723c,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xbb1a0eccf3c5742cb0fa5070a5e47e7aeb4da83c8a3d2c74b5c8c058031a1bf0
41,61,0.986724471,0x518dc982aece497c2503260010c89f6323493472,2017-11-02T00:44:32.000Z,0.016175811,0xe41ba7cfb98a58305596d551a87d37960f5f532a,sell,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x45d6ebb9b210aebce18cf93e60488d847e6080345d5095bac9cadd463a1a64a7
