,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,258,1.3416,0x1d2124733191d94ce85eadcdb0d5550ab858f8f5,2017-11-02T09:11:06.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x945db2f63879fb6029f9e36be44921e65b7d545a3aceb7d873947867895a749e
1,239,1.23085,0xde5f1cfa525ce4546e93a9674b05d451a8fea3b7,2017-11-02T05:03:28.000Z,0.00515,0x6833020e1fad7f8054b101fd9ca44e96886371e4,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xf2481348fa9d165a8ff5de528aec5b462f14165783847b5e216e703b48a1b772
2,20,0.104,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-02T04:58:36.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x80c9199ab107dd80e6cd64716b2aa887795e571ce34a11460fc349161a7384f4
3,80,0.416,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-02T04:25:34.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x1ab9e0cfb825b3fce5816fd2f6f08a860c01730ebc47230574731cd3dddf2e09
4,283,1.4716,0x6aa5f1abf49559605cce0122ebd4aca55ed364d8,2017-11-02T02:48:49.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x9ff47737e679e436f943a90aeb20e9194f6c2b1b26c932e45124d39c30aeef40
5,10,0.052,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-02T02:10:11.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x0cef72daf99f8c7b860c558c0970376c7915df4336d7de3493927263d47f955e
6,70,0.364,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-02T01:59:46.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x5ae7061ee5c68ca08abc3d134ad706aac9264c6e3f6f7884b86a615af7a7a687
7,100,0.52,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-02T01:18:01.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x3e35a9eef71ba43ae8d3cdc6df29378303d05bc51ef176fc6d85496ed74dcc57
8,100,0.52,0xd902f916e5263054e18f2b809ce5ce7bea82d9d2,2017-11-02T01:08:40.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xc40fe5e403c85e4a40cdf5957b4110698318047a5a1cc8a1378e1c6b38dfa62f
9,987,5.1324,0x98127dc11f4cd27be7d2b1b1bef5426b0cd8dbe2,2017-11-02T00:31:28.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x6339726b8e210098bab79e6ea686560349fec06b6916243ff3b9fd35cf98fcb7
10,29,0.1508,0xc3e7f39030093ebebc1f8fd66f63a468ea91d3d9,2017-11-01T21:05:08.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x87e5337c2dad39b0b28b0b3b56d412eb0c4ba72d53563f7fdc7099eb84f3f91e
11,26,0.1352,0xc3e7f39030093ebebc1f8fd66f63a468ea91d3d9,2017-11-01T20:54:07.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x6c4f14cd89145c1a38f1c223fe6196eed6974b0ceb98b9a786539772bee2a6b0
12,221,1.150164178719756,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-11-01T20:13:39.000Z,0.005204362799636905,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x7ce0ca6acbcee3624c79254bcce52815d5fa7c822eeb1f02ef103d6f6d86eca9
13,150,0.78,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-01T19:48:42.000Z,0.0052,0x53c832ea7b9577e1b07f4bccc249b894649c1a20,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x9eada0e6df26674d0242a5573ac31fa3481eb62d51e7fa991eb0f8bccd4ea54a
14,1000,5.304555876781976,0x3b48f68ae02e7eaaae57a81a24f8a8a5dd76319e,2017-11-01T18:58:41.000Z,0.005304555876781976,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xb1159e8d5a0f449f654e02a262faa76308e66cdbb9c09f800f233416aefc23eb
15,75,0.3825,0x1133f203d9d18f36350098ffbf947ad74b7ce511,2017-11-01T18:16:49.000Z,0.0051,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xf940a974cbbe45f12f3c8f9f68cf893fe6affc061d013e0a2a1fb5f1ef0684f4
16,76,0.38,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-01T18:16:49.000Z,0.005,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xf940a974cbbe45f12f3c8f9f68cf893fe6affc061d013e0a2a1fb5f1ef0684f4
17,1064,5.42402728,0x1133f203d9d18f36350098ffbf947ad74b7ce511,2017-11-01T16:02:28.000Z,0.00509777,0xed521bdddc06d485e4aa6b0f64387803eef7f924,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x0f36e4587aea2364de3372fa2704fb64efe067947f2440b08358032538d92acd
18,80,0.4078216,0x2a330de86d7c730564c9f24e1587cc10523cb384,2017-11-01T15:55:15.000Z,0.00509777,0xed521bdddc06d485e4aa6b0f64387803eef7f924,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xa2c908d41a180a73306351a24418d681cf2f108eba5d0c8b3e1d49e9b435fc4f
19,600,3.058662,0x2a330de86d7c730564c9f24e1587cc10523cb384,2017-11-01T15:53:45.000Z,0.00509777,0xed521bdddc06d485e4aa6b0f64387803eef7f924,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xc34227fcafdfb5fea011b1788242bed664b9b9ac0cb132f39899a43fc0ab3aea
20,163,0.8313,0xde5f1cfa525ce4546e93a9674b05d451a8fea3b7,2017-11-01T12:26:59.000Z,0.0051,0xd5d653b912c9278f0ed34cdd9b8ab72d76abf9e7,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x0830a7ec0e89d3ef0d8c6cba6b00b5e0c59179f2e72fce52aa9f89c54bb001ff
21,550,2.805,0xad9300646e5fba2aec2369887b28d08c3494aa40,2017-11-01T12:02:14.000Z,0.0051,0xd5d653b912c9278f0ed34cdd9b8ab72d76abf9e7,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x75d66a8f8ad492884886cb8ffaa65f23889af6f36880e3348060214fbf4ab4bf
22,412,2.06000824,0xe33384c7e56500d51aec589f40104848c5103f22,2017-11-01T11:48:16.000Z,0.00500002,0xd5d653b912c9278f0ed34cdd9b8ab72d76abf9e7,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x35ce93b203ec2629fca663c6b3854c2d962706e520cd90a1912ae8637b743891
23,412,2.06000824,0xe33384c7e56500d51aec589f40104848c5103f22,2017-11-01T11:47:20.000Z,0.00500002,0xd5d653b912c9278f0ed34cdd9b8ab72d76abf9e7,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x35ce93b203ec2629fca663c6b3854c2d962706e520cd90a1912ae8637b743891
24,371,1.8921,0xad9300646e5fba2aec2369887b28d08c3494aa40,2017-11-01T11:43:54.000Z,0.0051,0xd5d653b912c9278f0ed34cdd9b8ab72d76abf9e7,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x7c8e75d8a2b34fa1afce693063d7832a8b987a703ff21e9c2f243c0cc7816342
25,629,3.2079,0xad9300646e5fba2aec2369887b28d08c3494aa40,2017-11-01T11:14:01.000Z,0.0051,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x740f2b0d13aeba9c2c4a4beba35291a01034979da730524557dac3178246f7a7
26,50,0.25500005,0x80b09687d811e0a3a0d2e6435c82e6d861bed86b,2017-11-01T11:11:18.000Z,0.005100001,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xc43ceddbe4976bbb035985385b7c74c9e5cb82a9445656e1b75db6b624802508
27,34,0.1768,0x65262bc9f3507663d0925dc64323cf7edae94363,2017-11-01T11:11:18.000Z,0.0052,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x2aef4790e0e988ed2fb30a6eff815a0f8cd3d8ada908501c7b04fe1fb6c15be3
28,50,0.265,0x65262bc9f3507663d0925dc64323cf7edae94363,2017-11-01T07:05:56.000Z,0.0053,0x80b09687d811e0a3a0d2e6435c82e6d861bed86b,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x2bc2968df16377637dc22f1f344726c2a6cfd3a78084a316aed8aed99ee7dd15
29,14,0.07760539383688919,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-11-01T01:14:31.000Z,0.005543242416920656,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x602bd0ba7eed81006b5cd1cd5180887197d5bc1307e34d6227aed7e89373dd56
30,18,0.09643968,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T23:37:34.000Z,0.00535776,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x6c86b079d89cdc412f9eb5390b8711fbc5dcfa90ac5c020705832ccad90f7aa6
31,856,4.586867137872595,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T23:33:14.000Z,0.005358489647047424,0xed521bdddc06d485e4aa6b0f64387803eef7f924,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x0b0d894c3006a97d3c3dbb2f58436a9e9632d63eb5baadaa9bbbfef829b22a50
32,50,0.250615,0x06a1aa03c180cff362ad51c69a4c60688013a990,2017-10-31T23:31:05.000Z,0.0050123,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xbdf81d6fd4a5ae9be59af5e50559834dcf7b9b17cebb8b7e3a38f9d140fef8d0
33,70,0.35086219,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-10-31T23:22:16.000Z,0.005012317,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xb6768a3c5106f42ff078d047e91b699324484d5c7ddedb2e7c3be4337dae9c19
34,400,2,0x975b308c01c62adc0f8797d37b53104c227e875b,2017-10-31T23:19:31.000Z,0.005,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x13c8cef33af8ff336e8859416e9f3ee7d2fb5bd0fb5b538aef000bf02c60fb53
35,795,3.8955,0x80b09687d811e0a3a0d2e6435c82e6d861bed86b,2017-10-31T23:19:14.000Z,0.0049,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xd29e448d764faabbf1e5f2df0bae04ed745bd4d9683b17a34733154106508888
36,50,0.2688865,0x65262bc9f3507663d0925dc64323cf7edae94363,2017-10-31T22:44:47.000Z,0.00537773,0x650ad899deb88f384c2360b184d9f91cfba61c38,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xe674aab71732ba51621b7a5a4d11728dd5c5469c08a926cb5a945183f079bacd
37,31,0.16581461299749214,0x88bfe9b06cf22a31d6bf7b93de3a0760422cf17f,2017-10-31T20:11:54.000Z,0.005348858483790069,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xd4efc63c0a40326a0ef6ca72dea206a2cb2fae9f19950d13784ebb223e7e8d52
38,725,3.898847,0x975b308c01c62adc0f8797d37b53104c227e875b,2017-10-31T18:29:48.000Z,0.00537772,0x80b09687d811e0a3a0d2e6435c82e6d861bed86b,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xa004d838034b4b61d6e1567831fe3903a6973e9f5789b51d3bbe3d51565850ff
39,20,0.106,0xc734d8d26a3ae1ca436de155c55f06f11bf4a962,2017-10-31T18:28:36.000Z,0.0053,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x3c6ccc70b67926f5e0dcf18836837baa5a357da6ec99b8bd32b4a4c6dbd73aa9
40,17,0.0901,0x74a75be2975deb0e0be4a66625167319158b7108,2017-10-31T18:20:27.000Z,0.0053,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x553adaad5e42ba55f7fb785a663405ece0fe1a8c6f75e80bb885fc324a3d0462
41,526,2.791585387002508,0x16380028ea31c9050db28f047ca4c3af6ef27e66,2017-10-31T17:11:23.000Z,0.005307196553236707,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x5bf6b2d02ff0c494dde0356c0e087e3b27e93439fac127da60d4050c7d62870c
42,32,0.1696,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T14:36:42.000Z,0.0053,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x89c85f3cc316b04e7e2464545a2a07dcf6236d461daa1712efe8725645315518
43,144,0.7632,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T14:09:25.000Z,0.0053,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x8168e5c808abfe26280a2915f03bc2ba78ed5ae029fb23a1c7602d32d3a5a434
44,229,1.2137,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T14:04:12.000Z,0.0053,0x50f8502df373a3278a6a30cfb9f62bab49758138,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x0490aea919a119b31749ef6740d12388e07797fa7161400b2d922f61bfe1a93f
45,500,2.7095,0x89ca536b098ecd630a3965b66f3a7c2dc0d4ce41,2017-10-31T14:00:50.000Z,0.005419,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x4b1649cebcbe4587f66e2416a352bce79ac1cd5880b87a31057c4407f3be3046
46,1350,6.48,0x1133f203d9d18f36350098ffbf947ad74b7ce511,2017-10-31T13:49:29.000Z,0.0048,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xdbb3977776b2169468dcf95377ff294672e394c2e3f57d1fc21558ac59a114d9
47,1618,7.801996,0x4be395084eac19e123bf3b784ef765e488aadf1d,2017-10-31T13:47:53.000Z,0.004822,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x6c71c0f6dcc5bde97ae4ba1c01457aca5f010897d2a4487fd75771e77f32b3e7
48,350,1.7045,0x1133f203d9d18f36350098ffbf947ad74b7ce511,2017-10-31T13:47:40.000Z,0.00487,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xf2b92f5cf75a5042fdad54494544da4652de13a4da323beebce9157812474781
49,1500,7.2945,0x650ad899deb88f384c2360b184d9f91cfba61c38,2017-10-31T13:46:50.000Z,0.004863,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x25c83fbbb58d2db54bcc92f1b5c53830624a08896a92e2140f2c206fef9a3d8a
50,1160,5.64224,0x650ad899deb88f384c2360b184d9f91cfba61c38,2017-10-31T13:45:36.000Z,0.004864,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x286f1f45d17e3ac9afda7e36b514743a138cb8b6d8dededf3a67a784b6fa7c9f
51,99,0.4974849,0xa8d39347f3cadda48a2bafb0805f262f1764fd5c,2017-10-31T13:40:16.000Z,0.0050251,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x37813b8b1fd019cc31e5bb717551afc4e9d5c28ac49071d6a13fe305346ae45e
52,716,3.58883544,0x80b09687d811e0a3a0d2e6435c82e6d861bed86b,2017-10-31T13:40:16.000Z,0.00501234,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x8108bfdfc65e15f87161c8378f526222b3100012134c27e65df22ef20594956c
53,19,0.10217725,0x625d3a00560dc44c091adbe85e5d4eb1055fd5ac,2017-10-31T13:39:34.000Z,0.00537775,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0xed450a972c0458b1a7179e09fb3c84d762e0c10674856859b1631f5967cb4ee5
54,1135,5.703375,0xc347a4722db289d3fff1213b1972db4b6b555a39,2017-10-31T13:39:04.000Z,0.005025,0x6e24f19e2fdeff8ff863a088778d7403d5a86221,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x8ab896d423c40e377ac08ccd48e75c126841756d37cbc2e692de94de9ecd534e
55,11,0.05915525,0x625d3a00560dc44c091adbe85e5d4eb1055fd5ac,2017-10-31T11:07:36.000Z,0.00537775,0x23ce9f95dcda612bfbb243d576f1a1d4e1a7b658,sell,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x8ed96441b93acfe9798005cbb7823251a08f8ea89968375fc09fed77476e4cb4
56,1,0.00537775,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-31T11:00:16.000Z,0.00537775,0x650ad899deb88f384c2360b184d9f91cfba61c38,buy,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda,0x1475d1e16b059ccd73369d8369b2fbb7304f9c603317917ce05b378715dfaaad
