,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10000,6.569,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T14:10:10.000Z,0.0006569,0x0960da039bb8151cacfef620476e8baf34bd9565,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0xeddf24a01d679211cf9ab7cc74986cc66d2fe462e82cabcf0b11d011b7fd7f4b
1,0.129713033,0.0000814208708141,0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb,2017-11-02T14:06:16.000Z,0.0006277,0x2aaebe8b991f8e6a334cd3825b6759a07943f0b4,sell,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x42fe65af4a94c863de0b2a2bf2eeb0ac0723fed420efa2ab20203500a9b00dc8
2,1301.151430565,0.816082177250368,0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb,2017-11-02T14:03:12.000Z,0.0006272,0x2aaebe8b991f8e6a334cd3825b6759a07943f0b4,sell,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0xe74b5bbe5353b35f5751017e1409bc88c945071b9a0994a63e85daaea494510d
3,10000,6.289,0x0960da039bb8151cacfef620476e8baf34bd9565,2017-11-02T13:59:07.000Z,0.0006289,0x2aaebe8b991f8e6a334cd3825b6759a07943f0b4,sell,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x9035e9c49031f7749127b3f4eb82f95e75d6cbb77dcfaed67c445b5ef1b961f1
4,1515,0.95219265,0x5a6030add6ad1c6ddff05a009b76305f1c1ab865,2017-11-02T13:54:12.000Z,0.00062851,0x2aaebe8b991f8e6a334cd3825b6759a07943f0b4,sell,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x6aaf083d884d7791e73920a92dde9a03663d3d5531e78381ff9c34150977e71a
5,5320,3.345748,0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb,2017-11-02T13:52:39.000Z,0.0006289,0x2aaebe8b991f8e6a334cd3825b6759a07943f0b4,sell,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x3191e17b4b13ca420985710fdd482bc37bf11cc0ca5894a67563680b55a2c1c8
6,5000,3.345,0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb,2017-11-02T13:48:07.000Z,0.000669,0x0960da039bb8151cacfef620476e8baf34bd9565,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x8ae8578fedd0a968b675d42e3fcc9c5d2439197a6784e1f610dd2ffdc16cc690
7,1500,1.002,0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb,2017-11-02T13:47:00.000Z,0.000668,0x48737bd0d7f24f3bb7c778e4e3074634765034a6,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x0da95a0ab06cd5c662def2d55ea4578392c416372e1ae0c935bafa571cc41596
8,10000,6.569,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:28:46.000Z,0.0006569,0x0960da039bb8151cacfef620476e8baf34bd9565,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x83e4726888e7e22803e0b37b20ef70b0db130dde7ff201d0cb3fa97bd39c97d7
9,5297.379,3.475080624,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:25:55.000Z,0.000656,0x1eaa18a0e964d346f2b5182be3f97d7aab5145b9,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x319d86075abce59d7e77293f6e4d1943c6e469af4ea3ac4e89400be1811d4786
10,1500,0.981,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:23:49.000Z,0.000654,0x48737bd0d7f24f3bb7c778e4e3074634765034a6,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0xb4377c1b1a0c22829f393839af9945dc9c9e32523d299b58ce024ade74050cc9
11,1100,0.7183,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:23:04.000Z,0.000653,0x4de6bf61916eafb0510af6aa45e0cf994a571adb,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x958fbd564a3bfd3a4b71e02e14d580e059277e5cf09a64cda2cf661ced4404a8
12,568.887,0.3519134982,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:22:58.000Z,0.0006186,0x4387194fc92c9e30ff1cd2b6e7e7148a9ac50a0b,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0xffbe3a76d9d571562fc030143deb269243433d4db5397bc14031a174070453ea
13,20000,13.13798,0xbda8ef20d4ccaa4ad5f2f5663855ccad4445253e,2017-11-02T12:22:11.000Z,0.000656899,0x0960da039bb8151cacfef620476e8baf34bd9565,buy,0xb24754be79281553dc1adc160ddf5cd9b74361a4,0x6c83465e92b0fc9dadac0692a5d228851bb469d2b95b4225d039d12e0f06a8c7
