date,Open,High,Low,Close,Mean,Std,Range,Q1,Median,Q3,IQR,Skewness,Kurtosis,No_of_Outliers,Volume,Turnover
2017-10-24,2.05e-07,1.0,1.96e-08,1.98e-07,0.010800195219524047,0.09998671159578619,0.9999999804,1.92e-07,1.98e-07,2e-07,7.999999999999992e-09,9.832415275409602,96.18572673997112,11,1050894121.0567071,207.48129710845544
2017-10-25,1.96e-07,1.0,1.0999999985500001e-08,1.87e-07,0.01000518403580941,0.09974793000431123,0.999999989,1.8354660199100002e-07,1.85666666666e-07,1.8800000000000002e-07,4.453398008999998e-09,9.92394824022248,97.45934197227197,26,663837247.6273268,122.74358701132401
2017-10-26,1.854444444e-07,2.03e-06,5e-08,1.66426973969e-07,1.9151548984004242e-07,1.7857241854176135e-07,1.98e-06,1.67e-07,1.715e-07,1.83e-07,1.600000000000001e-08,0.0,0.0,6,1556150357.7205052,271.8212457878203
2017-10-27,1.7e-07,2.5e-07,9.9999999e-13,1.8800000000000002e-07,1.816579030463118e-07,2.076843819664232e-08,2.4999900000000997e-07,1.75e-07,1.85e-07,1.9e-07,1.5000000000000015e-08,0.0,0.0,8,1743466805.8126435,309.12927721168745
2017-10-28,1.7600000000000001e-07,1.91e-07,1.6399999999999999e-07,1.82e-07,1.7611465233594393e-07,4.652805703102516e-09,2.7000000000000017e-08,1.73e-07,1.7599999999000002e-07,1.7899999999999997e-07,5.999999999999974e-09,0.0,0.0,4,479294046.9615531,84.32583063956716
2017-10-29,1.8399999999999998e-07,3.7e-07,1.77999999995e-07,1.8955999999999998e-07,1.8793161199994014e-07,2.6610288595480805e-08,1.92000000005e-07,1.8e-07,1.8399999999999998e-07,1.85361e-07,5.360999999999991e-09,0.0,0.0,5,355839229.9101797,65.17105877443535
2017-10-30,1.82e-07,5.2000000000000004e-05,5e-08,1.7e-07,5.912206315985117e-07,4.63530789200258e-06,5.195e-05,1.71e-07,1.75e-07,1.8e-07,8.999999999999988e-09,11.179715623299423,124.99059667531489,5,816987788.0397913,141.7238222258838
2017-10-31,1.6944440000000001e-07,0.000202,4.99999999983e-08,1.55e-07,1.4412490357501224e-06,1.6057244538664595e-05,0.0002019500000000017,1.6e-07,1.6575e-07,1.7175e-07,1.175000000000001e-08,12.569759886408436,157.99923757538,7,380401608.4988965,61.17179441184964
2017-11-01,1.56e-07,1.8899999999999999e-07,1.2099999999999998e-07,1.2099999999999998e-07,1.588260540942205e-07,7.294230587223855e-09,6.8e-08,1.54e-07,1.58e-07,1.62e-07,7.999999999999992e-09,0.0,0.0,3,466446354.6608198,72.96375123963246
2017-11-02,1.53e-07,0.00015800000000000002,1.37931034e-07,1.37931034e-07,1.2717599069502645e-06,1.2142463405760752e-05,0.00015786206896600003,1.448e-07,1.5e-07,1.549e-07,1.0099999999999991e-08,12.309060406743859,157.18684858057856,5,1534012156.1325364,229.17736637691598
2017-11-03,1.35e-07,5.5e-06,0.0,1.55e-07,1.6845480106517493e-07,3.984127116489832e-07,5.5e-06,1.3e-07,1.3469000000000002e-07,1.368e-07,6.800000000000008e-09,0.0,0.0,13,1535410736.6055655,206.58101833490073
2017-11-04,1.55e-07,1.51e-06,1.31e-07,1.44e-07,1.6041623319602936e-07,1.2048726076506615e-07,1.3789999999999998e-06,1.40444444444e-07,1.4750000000000002e-07,1.545e-07,1.4055555555999974e-08,0.0,0.0,5,604844477.2602712,87.12963427700275
2017-11-05,1.55e-07,6701000.0,1.1399999900000001e-07,1.5199999999999998e-07,48234.04255338181,564328.6863711427,6700999.999999886,1.48e-07,1.5199999999999998e-07,1.65e-07,1.7000000000000007e-08,11.8703583114343,140.93584758709548,4,520933729.34272873,80.53306115210212
2017-11-07,1.53e-07,1.8399999999999998e-07,1.4e-07,1.5199999999999998e-07,1.504090909090909e-07,7.1473468221567804e-09,4.399999999999997e-08,1.465e-07,1.515e-07,1.54e-07,7.500000000000008e-09,0.0,0.0,1,117411002.27798586,17.303023928792854
2017-11-09,1.99e-07,5200000.0,1.73e-07,1.73e-07,35374.149660051335,428888.7713979921,5199999.999999827,1.8100000000000002e-07,1.87e-07,1.97e-07,1.5999999999999984e-08,12.124355652982143,147.00000000000006,2,492780356.7588999,92.97926138841463
2017-11-10,1.72e-07,2.1e-07,1.71e-07,1.71e-07,1.8288839285749093e-07,7.365179772006455e-09,3.899999999999999e-08,1.75e-07,1.835e-07,1.8899999999999999e-07,1.3999999999999993e-08,0.0,0.0,1,411192514.48591954,74.17543491245942
2017-11-11,1.7e-07,2.21e-07,1.5e-07,1.6e-07,1.672323571418633e-07,1.0564716612276159e-08,7.100000000000001e-08,1.6e-07,1.67999999854e-07,1.75e-07,1.499999999999999e-08,0.0,0.0,2,2486229633.081444,395.88376504544283
2017-11-13,1.62e-07,2.45e-07,1.58e-07,1.67e-07,1.6862162162162159e-07,9.564188939670209e-09,8.699999999999997e-08,1.62e-07,1.69e-07,1.71e-07,9.000000000000014e-09,0.0,0.0,4,464055226.59514856,77.81492873323856
2017-11-14,1.66e-07,1.8e-07,1.55e-07,1.6e-07,1.6196344827584477e-07,4.245699021368316e-09,2.5e-08,1.6e-07,1.6100000000000003e-07,1.6599e-07,5.9899999999999894e-09,0.0,0.0,1,460984061.72543764,74.86524331657046
2017-11-15,1.59e-07,0.7,1.55e-07,1.66e-07,0.013375963679363048,0.0961405929809412,0.699999845,1.59e-07,1.66e-07,1.73e-07,1.3999999999999993e-08,7.093104966066474,48.935406612649,7,1414913189.5265248,236.25002687771783
2017-11-16,1.85e-07,4.95e-07,1.56e-07,1.71e-07,1.7909999999999244e-07,2.9642233645661495e-08,3.3900000000000006e-07,1.68e-07,1.78e-07,1.8474999999999998e-07,1.6749999999999988e-08,0.0,0.0,3,476166676.2653327,80.37325196033385
2017-11-17,1.7600000000000001e-07,3.19e-07,1.59e-07,1.73e-07,1.7442040816309177e-07,1.7985217063625616e-08,1.5999999999999998e-07,1.65e-07,1.73e-07,1.8e-07,1.499999999999999e-08,0.0,0.0,1,707114453.444572,120.81486443873949
