pair,no_of_rows,no_of_trades,total_time,avg_hourly_trades,min_date,max_date,volume_traded,total_turnover,avg_price_of_unit_volume,total_days
ETH_MOD,500,500,17:04:59,29.2687685979,2017-11-01 18:10:02,2017-11-02 11:15:01,192257.0,873.008443525,0.00454084087198,0
ETH_OMG,500,500,20:40:24,24.1857465334,2017-11-01 15:39:53,2017-11-02 12:20:17,44395.0815031,952.445684925,0.0214538559831,0
ETH_IBTC,500,500,"1 day, 1:35:45",19.5344294319,2017-11-01 14:12:59,2017-11-02 15:48:44,2011443.98565,95.7609572651,4.76080656227e-05,1
ETH_EOS,500,500,"1 day, 1:59:58",19.2311801534,2017-11-01 15:02:21,2017-11-02 17:02:19,209817.948125,752.666370796,0.0035872353987,1
ETH_VERI,500,500,"1 day, 8:22:06",15.4471963339,2017-11-01 06:41:27,2017-11-02 15:03:33,6414.78558573,1060.79988717,0.165367941453,1
ETH_PPT,500,500,"1 day, 8:43:28",15.2790981937,2017-11-01 08:20:44,2017-11-02 17:04:12,106555.383529,1278.57103548,0.0119991218945,1
ETH_ITS,500,500,"1 day, 15:37:16",12.6195350402,2017-11-01 00:15:25,2017-11-02 15:52:41,353100.447865,125.469727362,0.000355337208208,1
ETH_SCL,500,500,"1 day, 18:07:11",11.8709234919,2017-10-31 21:40:19,2017-11-02 15:47:30,476472.114707,827.464405865,0.00172828353291,1
ETH_LINK,500,500,"1 day, 18:11:29",11.8507594362,2017-10-31 21:29:55,2017-11-02 15:41:24,929706.370641,522.861503443,0.000597739599141,1
ETH_LTG,500,500,"1 day, 20:05:55",11.3382255677,2017-10-31 17:20:08,2017-11-02 13:26:03,7356263.0,132.563000187,2.14314441072e-05,1
ETH_EBTC,500,500,"1 day, 20:24:57",11.2572468527,2017-10-31 20:19:33,2017-11-02 16:44:30,3149271.90153,63.1179247076,2.00220873611e-05,1
ETH_POS,500,500,"1 day, 21:38:21",10.9555024011,2017-10-31 13:34:02,2017-11-02 11:12:23,18070.0723266,55.776920757,0.00304277781622,1
ETH_PLR,500,500,"1 day, 22:33:41",10.7385112844,2017-10-31 16:48:42,2017-11-02 15:22:23,1430707.26779,523.304538576,0.000372426644886,1
ETH_COB,500,500,"1 day, 22:41:49",10.707338691,2017-10-31 14:02:34,2017-11-02 12:44:23,2557185.26829,443.364686799,0.000178548037438,1
ETH_REQ,500,500,"2 days, 1:16:56",10.1456463904,2017-10-31 09:59:08,2017-11-02 11:16:04,5998714.40208,746.949023536,0.000126536962968,2
ETH_ATM,500,500,"2 days, 5:16:44",9.38458009218,2017-10-31 12:16:09,2017-11-02 17:32:53,12155770.0237,2151.80500486,0.000178478524576,2
ETH_PPP,500,500,"2 days, 13:25:29",8.14004495114,2017-10-30 21:37:12,2017-11-02 11:02:41,646591.979258,395.585320409,0.000614279251333,2
ETH_BLUE,500,500,"2 days, 14:52:24",7.95249708408,2017-10-31 01:49:24,2017-11-02 16:41:48,2452906.87489,88.5505550941,3.81835796043e-05,2
ETH_BTCR,500,500,"2 days, 15:57:37",7.81735191547,2017-10-30 23:15:47,2017-11-02 15:13:24,1570377.24745,104.621273485,6.66482224884e-05,2
ETH_KICK,500,500,"2 days, 18:47:43",7.48555910889,2017-10-30 18:11:24,2017-11-02 12:59:07,2599541.86135,347.411906325,0.000137620009192,2
ETH_0x4dc3,500,500,"2 days, 19:00:34",7.46163476127,2017-10-30 21:30:44,2017-11-02 16:31:18,1467670.40512,944.269961968,0.0006759606178,2
ETH_SALT,500,500,"2 days, 19:22:15",7.42160925227,2017-10-30 17:37:30,2017-11-02 12:59:45,50017.2541352,440.392409154,0.00888855340546,2
ETH_IETH,500,500,"2 days, 20:49:19",7.26512457671,2017-10-30 18:40:48,2017-11-02 15:30:07,2989993.94518,146.809648147,4.65177397161e-05,2
ETH_BTCM,500,500,"2 days, 23:59:30",6.94524829263,2017-10-30 14:24:59,2017-11-02 14:24:29,3759530.93864,85.9386958925,2.24552560223e-05,2
ETH_ELITE,500,500,"3 days, 11:07:58",6.01447483611,2017-10-30 03:21:59,2017-11-02 14:29:57,169803.113114,162.31463566,0.00087081008221,3
