pair,no_of_rows,no_of_trades,total_time,avg_hourly_trades,min_date,max_date,volume_traded,total_turnover,avg_price_of_unit_volume,total_days
ETH_MOD,500,500,17:04:59,29.268768597863378,2017-11-01 18:10:02,2017-11-02 11:15:01,192257.0,873.0084435249486,0.004540840871983588,0
ETH_OMG,500,500,20:40:24,24.18574653337633,2017-11-01 15:39:53,2017-11-02 12:20:17,44395.08150310051,952.4456849251768,0.021453855983092605,0
ETH_IBTC,500,500,"1 day, 1:35:45",19.534429431873676,2017-11-01 14:12:59,2017-11-02 15:48:44,2011443.985645956,95.7609572650977,4.760806562273967e-05,1
ETH_EOS,500,500,"1 day, 1:59:58",19.23118015342208,2017-11-01 15:02:21,2017-11-02 17:02:19,209817.94812477843,752.6663707960536,0.0035872353987011826,1
ETH_VERI,500,500,"1 day, 8:22:06",15.447196333865405,2017-11-01 06:41:27,2017-11-02 15:03:33,6414.785585733342,1060.79988717446,0.16536794145290032,1
ETH_PPT,500,500,"1 day, 8:43:28",15.279098193671059,2017-11-01 08:20:44,2017-11-02 17:04:12,106555.38352913003,1278.5710354817286,0.011999121894504689,1
ETH_ITS,500,500,"1 day, 15:37:16",12.619535040242294,2017-11-01 00:15:25,2017-11-02 15:52:41,353100.44786536996,125.4697273615273,0.0003553372082081481,1
ETH_SCL,500,500,"1 day, 18:07:11",11.870923491898095,2017-10-31 21:40:19,2017-11-02 15:47:30,476472.1147071504,827.4644058648945,0.0017282835329142394,1
ETH_LINK,500,500,"1 day, 18:11:29",11.850759436167202,2017-10-31 21:29:55,2017-11-02 15:41:24,929706.3706409711,522.8615034426311,0.000597739599140813,1
ETH_LTG,500,500,"1 day, 20:05:55",11.338225567698656,2017-10-31 17:20:08,2017-11-02 13:26:03,7356263.0,132.5630001873085,2.1431444107170867e-05,1
ETH_EBTC,500,500,"1 day, 20:24:57",11.257246852661401,2017-10-31 20:19:33,2017-11-02 16:44:30,3149271.901534161,63.1179247076416,2.0022087361148523e-05,1
