datetime,amount,amountBase,price
2017-11-02 10:29:32,95.95254710397766,0.2302861130495464,0.0024
2017-11-01 21:31:36,0.001,8.799e-07,0.0008799
2017-11-01 11:54:07,1250.0,1.1960875,0.00095687
2017-11-01 11:49:52,665.26,0.6365673362,0.00095687
2017-11-01 11:49:40,261.0,0.24795,0.00095
2017-11-01 06:48:42,10.0,0.0096,0.00096
2017-11-01 06:48:13,457.2714816656938,0.43898062239906604,0.00096
2017-11-01 06:47:20,6.0,0.00576,0.00096
2017-11-01 06:30:59,1.0,0.000978,0.000978
2017-11-01 06:04:34,20.0,0.0196,0.00098
2017-11-01 05:10:48,2.0,0.001959998,0.000979999
2017-11-01 04:30:59,191.22231287091648,0.18739786661349817,0.00098
2017-11-01 03:59:40,1809.2158890921153,1.791123730201194,0.00099
2017-11-01 03:58:58,1214.3038199772366,1.1997321741375098,0.000988
2017-11-01 03:52:59,76.76543259121384,0.07584424740011927,0.000988
2017-11-01 03:52:17,112.07781658358968,0.11073288278458661,0.000988
2017-11-01 03:51:44,114.0,0.112518,0.000987
2017-11-01 03:10:21,1.9221834164103218,0.001899117215413398,0.000988
2017-11-01 03:09:05,120.0,0.11856,0.000988
2017-11-01 03:08:02,200.747,0.198338036,0.000988
2017-11-01 03:00:00,1.0,0.0002,0.0002
2017-11-01 02:59:50,1.0,0.0002,0.0002
2017-11-01 02:43:08,151.35274743154957,0.14953651446237098,0.000988
2017-11-01 02:31:03,200.0,0.24,0.0012
2017-11-01 02:13:39,8209.298,8.12720502,0.00099
2017-11-01 02:13:12,100.0,0.09,0.0009
2017-11-01 02:13:12,1971.0,1.7739,0.0009
2017-11-01 01:53:31,0.001,4.0001e-07,0.00040001
2017-10-31 00:40:31,0.00059,0.13098,222.0
2017-10-30 04:58:26,17.0,0.019652,0.001156
2017-10-30 04:51:14,41.0,0.05617,0.00137
2017-10-30 03:41:42,5800.0,2.32058,0.0004001
2017-10-30 02:54:52,1000.0,0.365497,0.000365497
2017-10-30 02:49:16,5270.782,2.2147825964,0.0004202
2017-10-30 00:37:00,2500.0,1.00265025,0.0004010601
2017-10-30 00:37:00,7500.0,3.0007575,0.000400101
