datetime,amount,amountBase,price
2017-11-02 13:28:29,0.005982053838484546,1.7946161515453e-05,0.0029999999999998934
2017-11-02 11:16:35,1.994,0.005982,0.003
2017-11-02 06:54:43,0.07155638277714337,3.9753148451842e-05,0.00055555
2017-11-01 22:01:05,8.5,0.00255,0.0003
2017-11-01 22:00:55,14.1,0.00423,0.0003
2017-11-01 22:00:55,20.3,0.00609,0.0003
2017-11-01 22:00:22,3.8,0.00114,0.0003
2017-11-01 22:00:11,2.5,0.00075,0.0003
2017-11-01 21:59:48,10.0,0.003,0.0003
2017-11-01 18:09:34,2.65,0.00053,0.0002
2017-11-01 18:09:34,4.12,0.000824,0.0002
2017-11-01 18:09:34,1.22,0.000244,0.0002
2017-11-01 18:09:09,4.6,0.00092,0.0002
2017-11-01 18:04:38,1.2,0.00024,0.0002
2017-11-01 17:44:25,5.6,0.00084,0.00015
2017-11-01 17:42:37,4.2,0.00063,0.00015
2017-11-01 17:41:58,1.7,0.000255,0.00015
2017-11-01 17:40:38,1.6,0.00024,0.00015
2017-11-01 17:39:50,2.3,0.000345,0.00015
2017-11-01 17:39:40,10.0,0.0015,0.00015
2017-11-01 17:22:03,4.9,0.00098,0.0002
2017-11-01 17:22:03,3.5,0.0007,0.0002
2017-11-01 17:22:03,1.3,0.00026,0.0002
2017-11-01 17:21:49,2.4,0.00048,0.0002
2017-11-01 17:21:15,2.4,0.00048,0.0002
2017-11-01 17:18:10,4.8,0.00096,0.0002
2017-11-01 17:18:10,2.4,0.00048,0.0002
2017-11-01 17:18:10,4.2,0.00084,0.0002
2017-11-01 17:18:03,2.1,0.00042,0.0002
2017-11-01 17:16:59,10.0,0.002,0.0002
2017-11-01 17:13:16,1.0,0.0002,0.0002
2017-11-01 17:10:04,1.9,0.00057,0.0003
2017-11-01 17:10:04,1.8,0.00054,0.0003
2017-11-01 17:09:51,1.5,0.00045,0.0003
2017-11-01 17:08:22,1.0,0.0003,0.0003
2017-11-01 17:06:50,1.2,0.00036,0.0003
2017-11-01 17:06:10,1.3,0.00039,0.0003
2017-11-01 16:50:46,0.004,1.8e-06,0.00045
2017-11-01 16:50:46,0.002,9e-07,0.00045
2017-11-01 16:50:46,0.003,1.35e-06,0.00045
2017-11-01 16:50:35,0.004,1.8e-06,0.00045
2017-11-01 16:48:32,0.002,9e-07,0.00045
2017-11-01 16:47:23,0.001,4.5e-07,0.00045
2017-11-01 16:47:23,0.002,9e-07,0.00045
2017-11-01 16:47:23,0.002,9e-07,0.00045
2017-11-01 16:47:18,0.001,4.5e-07,0.00045
2017-11-01 16:46:05,0.001,4.5e-07,0.00045
2017-11-01 16:46:05,0.001,4.5e-07,0.00045
2017-11-01 16:46:05,0.002,9e-07,0.00045
2017-11-01 16:44:57,0.001,4.5e-07,0.00045
2017-11-01 16:44:26,0.001,4.5e-07,0.00045
2017-11-01 16:33:07,10.0,0.003,0.0003
2017-11-01 16:31:42,10.0,0.003,0.0003
2017-11-01 05:03:13,4124.6430911476355,2.887250163803345,0.0007
