datetime,amount,amountBase,price
2017-11-02 11:44:57,4.63562955,0.04683378852179775,0.010103005
2017-11-02 11:16:35,1495.36437045,15.107673711478203,0.010103005
2017-11-02 09:30:47,990.0,10.00296,0.010104
2017-11-02 06:29:06,1281.7970328,12.95005951223004,0.01010305
2017-11-02 04:12:35,14.0,0.137284,0.009806
2017-11-02 04:10:30,14.0,0.137284,0.009806
2017-11-02 04:08:59,14.0,0.137284,0.009806
2017-11-02 04:07:28,11.0,0.110396,0.010036
2017-11-01 19:53:21,0.52187965,0.0260939825,0.05
2017-11-01 17:57:39,0.0119,41.65,3500.0
2017-11-01 14:45:15,1.07811035,0.03234331069076352,0.030000000176942484
