pair,min_date,max_date,no_of_trades,total_time,avg_hourly_trades,volume_traded,total_turnover,avg_price_of_unit_volume,total_data,outliers_in_data,%_of_outliers
ETH_0x4dc3,2017-10-30 21:30:44,2017-11-02 16:31:18,500,"2 days, 19:00:34",7.461634761269141,1467670.4051174375,944.2699619683847,0.0006759606178000638,500,2,0.4
ETH_REQ,2017-10-31 09:59:08,2017-11-02 11:16:04,500,"2 days, 1:16:56",10.145646390404472,5998714.40208338,746.9490235363396,0.0001265369629679506,500,2,0.4
ETH_BTCM,2017-10-30 14:24:59,2017-11-02 14:24:29,500,"2 days, 23:59:30",6.945248292626463,3759530.938640445,85.9386958925256,2.2455256022298354e-05,500,3,0.6
ETH_ETG,2017-10-29 20:37:00,2017-11-02 12:46:59,500,"3 days, 16:09:59",5.671095372071116,621958.0,97.23690293498285,0.00014773699012681215,500,4,0.8
ETH_COSS,2017-10-28 15:05:33,2017-11-02 10:10:08,500,"4 days, 19:04:35",4.344939955343674,4063773.156093898,1161.4517889523902,0.0002805022942837261,500,4,0.8
ETH_IBTC,2017-11-01 14:12:59,2017-11-02 15:48:44,500,"1 day, 1:35:45",19.53442943187368,2011443.985645956,95.7609572650977,4.760806562273967e-05,500,4,0.8
ETH_KNC,2017-10-28 16:45:34,2017-11-02 11:33:36,500,"4 days, 18:48:02",4.355379619726966,209910.15422322054,701.1283768720772,0.0033172927762852725,500,4,0.8
ETH_EVX,2017-10-29 11:39:40,2017-11-02 14:50:11,500,"4 days, 3:10:31",5.041579022549864,93764.35879999996,577.6798860399501,0.005738842378252269,500,4,0.8
ETH_KICK,2017-10-30 18:11:24,2017-11-02 12:59:07,500,"2 days, 18:47:43",7.485559108885774,2599541.8613537108,347.4119063248625,0.0001376200091924545,500,4,0.8
ETH_MOD,2017-11-01 18:10:02,2017-11-02 11:15:01,500,17:04:59,29.268768597863374,192257.0,873.0084435249486,0.004540840871983589,500,5,1.0
ETH_ITS,2017-11-01 00:15:25,2017-11-02 15:52:41,500,"1 day, 15:37:16",12.619535040242296,353100.44786537,125.46972736152729,0.00035533720820814815,500,5,1.0
ETH_BLUE,2017-10-31 01:49:24,2017-11-02 16:41:48,500,"2 days, 14:52:24",7.952497084084403,2452906.87488684,88.55055509405369,3.818357960433324e-05,500,5,1.0
ETH_VERI,2017-11-01 06:41:27,2017-11-02 15:03:33,500,"1 day, 8:22:06",15.447196333865405,6414.7855857333425,1060.79988717446,0.16536794145290032,500,6,1.2
ETH_LTG,2017-10-31 17:20:08,2017-11-02 13:26:03,500,"1 day, 20:05:55",11.338225567698656,7356263.0,132.5630001873085,2.1431444107170867e-05,500,6,1.2
