pair,total_data,outliers_in_data,%_of_outliers
ETH_0x4dc3,500,2,0.4
ETH_REQ,500,2,0.4
ETH_BTCM,500,3,0.6
ETH_ETG,500,4,0.8
ETH_COSS,500,4,0.8
ETH_IBTC,500,4,0.8
ETH_KNC,500,4,0.8
ETH_EVX,500,4,0.8
ETH_KICK,500,4,0.8
ETH_MOD,500,5,1.0
ETH_ITS,500,5,1.0
ETH_BLUE,500,5,1.0
ETH_VERI,500,6,1.2
ETH_LTG,500,6,1.2
ETH_IETH,500,7,1.4000000000000001
ETH_ELITE,500,9,1.7999999999999998
ETH_PPT,500,11,2.1999999999999997
ETH_KIN,500,14,2.8000000000000003
ETH_BTCR,500,14,2.8000000000000003
ETH_PPP,500,14,2.8000000000000003
ETH_LINK,500,14,2.8000000000000003
ETH_ATM,500,14,2.8000000000000003
ETH_SALT,500,18,3.5999999999999996
ETH_EBTC,500,18,3.5999999999999996
ETH_HDG,500,19,3.8
ETH_CAG,500,21,4.2
ETH_ECASH,500,22,4.3999999999999995
ETH_ZRX,500,22,4.3999999999999995
ETH_ETHD,500,36,7.199999999999999
ETH_POS,500,38,7.6
ETH_EOS,500,40,8.0
ETH_TRX,500,42,8.4
ETH_OMG,500,43,8.6
ETH_PLR,500,54,10.8
ETH_SCL,500,67,13.4
ETH_0xdb45,500,69,13.8
ETH_COB,500,108,21.6
